T	P_model	P_retr
0.0	0.0	204.28651981988878
3e-09	0.0	204.28651981988878
6e-09	0.0	204.28651981988878
9e-09	0.0	204.28651981988878
1.2e-08	0.0	204.28651981988878
1.5e-08	0.0	204.28651981988878
1.8e-08	0.0	204.28651981988878
2.1e-08	0.0	204.28651981988878
2.4e-08	0.0	204.28651981988878
2.7e-08	0.0	204.28651981988878
3e-08	0.0	204.28651981988878
3.3e-08	0.0	204.28651981988878
3.6e-08	0.0	204.28651981988878
3.9e-08	0.0	204.28651982017456
4.2e-08	0.0	204.2865200933568
4.5e-08	0.0	204.2866364653669
4.8e-08	0.0	204.30876790430273
5.1e-08	0.0	206.19592151156266
5.4e-08	0.0	278.72964289946555
5.7e-08	92.83742563692591	1543.1406019261465
6e-08	15316.901473532967	11605.30275393456
6.3e-08	48268.869022826606	48370.29218713245
6.6e-08	110155.33784296508	110197.84878906047
6.9e-08	149724.19320829463	157663.1750413305
7.2e-08	200000.0	173236.68345544254
7.5e-08	173572.66367316814	173783.48575614308
7.8e-08	177339.40572009946	171577.01976900123
8.1e-08	175074.61092142828	169181.70085744513
8.4e-08	162137.96652407644	166812.16331505773
8.7e-08	152670.59510734046	164475.73104634727
9e-08	164398.4029467904	162172.06296103675
9.3e-08	167475.7494813719	159900.7004673059
9.6e-08	170506.52302627408	157661.1905290071
9.9e-08	139034.83516920416	155453.08646038166
1.02e-07	142966.2061182304	153275.94783978505
1.05e-07	165315.64304867273	151129.34042184582
1.08e-07	136693.25426060936	149012.83605085211
1.11e-07	156552.51069392898	146926.0125753534
1.14e-07	153391.2407619236	144868.45376395909
1.17e-07	121564.13064455606	142839.74922231855
1.2e-07	137651.84291280239	140839.49431126504
1.23e-07	131963.28316746	138867.29006610755
1.26e-07	126353.7595036467	136922.74311705463
1.29e-07	128560.9119868367	135005.46561075404
1.32e-07	127774.20088351499	133115.0751329327
1.35e-07	131207.6949799871	131251.19463212145
1.38e-07	120319.75993880317	129413.45234444969
1.41e-07	129206.80095472414	127601.48171949432
1.44e-07	137580.75599927153	125814.92134716884
1.47e-07	141839.4191696404	124053.41488563757
1.5e-07	128503.49728124471	122316.61099024078
1.53e-07	105023.00511474046	120604.16324341657
1.56e-07	115649.82184229331	118915.73008560557
1.59e-07	114561.13784429882	117250.9747471244
1.62e-07	98753.07727061839	115609.56518099472
1.65e-07	124422.60527004962	113991.17399671405
1.68e-07	103405.61624164417	112395.47839495566
1.71e-07	109016.9619224139	110822.16010318378
1.74e-07	105136.6558716177	109270.9053121721
1.77e-07	108597.46138015387	107741.40461341223
1.8e-07	116479.78538537305	106233.35293740022
1.83e-07	101478.24378553077	104746.44949278813
1.86e-07	111798.34722207785	103280.39770638921
1.89e-07	99532.22372564532	101834.90516402425
1.92e-07	100125.86024684591	100409.68355219775
1.9499999999999999e-07	116683.357789544	99004.4486005915
1.98e-07	98346.46895838607	97618.92002536512
2.0099999999999999e-07	93174.88954859026	96252.82147325148
2.04e-07	99946.27574038999	94905.88046643595
2.07e-07	90737.87021504708	93577.82834820915
2.1e-07	90904.52356961844	92268.40022938112
2.13e-07	92443.401905883	90977.33493544765
2.16e-07	84915.04619016657	89704.374954497
2.19e-07	97889.34293914701	88449.26638584754
2.22e-07	93595.89306305797	87211.75888940536
2.25e-07	76820.64457963646	85991.6056357323
2.28e-07	90967.69129074314	84788.56325681404
2.31e-07	74606.7949020687	83602.39179751875
2.34e-07	88777.98670017534	82432.85466773626
2.37e-07	79623.32085714479	81279.71859518868
2.4e-07	74659.33336706292	80142.75357890244
2.43e-07	91452.15584870007	79021.73284333316
2.46e-07	76376.85123311573	77916.43279313363
2.49e-07	78905.6367313339	76826.63296855618
2.52e-07	74662.9235736793	75752.11600148048
2.55e-07	79950.59132777365	74692.6675720579
2.58e-07	71547.03132970288	73648.07636596399
2.61e-07	60350.33594046225	72618.13403225037
2.64e-07	72194.50269926272	71602.6351417877
2.67e-07	71391.29124645014	70601.37714629128
2.7e-07	76387.74621180013	69614.16033792171
2.73e-07	64663.27096695669	68640.7878094514
2.76e-07	70155.56753544642	67681.06541499034
2.79e-07	68129.93547505495	66734.80173126217
2.82e-07	63155.27541932239	65801.80801942365
2.85e-07	64129.67988881493	64881.89818741928
2.88e-07	65130.43064982793	63974.88875286399
2.91e-07	70493.20298251383	63080.59880644624
2.94e-07	62769.588836226976	62198.84997584454
2.9699999999999997e-07	62863.55320366834	61329.466390149784
3e-07	53937.009170683705	60472.27464478648
3.03e-07	54703.44543548891	59627.103766926186
3.06e-07	64960.2762803789	58793.78518138568
3.09e-07	56045.96381885451	57972.15267700354
