phi;Fkm/2;Fkm;F2km;F10km;F50km;F100km
0.04908738521234035;3.4527173097681216;1.4798990196418893;0.826149380649616;0.458434203637367;0.3954948632496861;0.38935240071155264
0.052155346788111956;3.3719710527141387;1.4747617277976899;0.8252769265388952;0.45829037254358646;0.39540517889338345;0.3892671834605172
0.05522330836388312;3.2896365662360454;1.469345377816361;0.8243532715060691;0.4581379065569909;0.3953100961467827;0.3891768354841171
0.05829126993965428;3.206087624688574;1.4636553468686806;0.8233787060452953;0.45797682009884644;0.3952096215194435;0.38908136275316374
0.06135923151542544;3.1216781569482213;1.4576972320991513;0.8223535358130455;0.4578071283932784;0.3951037618859794;0.38898077157353017
0.06442719309119704;3.0367404505701288;1.4514768377725917;0.8212780813971129;0.45762884746377264;0.39499252448491223;0.3888750685851372
0.0674951546669682;2.9515838877732397;1.4450001621437194;0.820152678075386;0.4574419941294993;0.3948759169174687;0.38876426076088755
0.07056311624273937;2.8664941680774594;1.4382733841019468;0.81897767556472;0.4572465860014585;0.3947539471463167;0.38864835540554626
0.07363107781851097;2.7817329662614947;1.4313028496432996;0.8177534377602526;0.4570426414784496;0.3946266234942433;0.3885273601545702
0.07669903939428213;2.6975379709579395;1.4240950582206942;0.8164803424655196;0.45683017974286755;0.3944939546427747;0.3884012829728853
0.07976700097005329;2.614123248252095;1.4166566490229069;0.8151587811137326;0.45660922075632665;0.3943559496307375;0.3882701321536124
0.08283496254582445;2.53167987566787;1.408994387231383;0.8137891584805961;0.45637978525511286;0.3942126178527636;0.3881339163167421
0.08590292412159606;2.450376794471135;1.401115150302586;0.812371892389047;0.456141894745469;0.39406396905773705;0.38799264440775894
0.08897088569736722;2.3703618318884025;1.393025914321936;0.8109074134063052;0.4558955714987128;0.393910013347185;0.3878463256962156
0.09203884727313838;2.291762849254815;1.3847337404734954;0.8093961645336346;0.4556408385461897;0.3937507611736125;0.3876949697742572
0.09510680884890954;2.2146889769522287;1.3762457616675468;0.8078386008892167;0.45537771967406465;0.39358622333878196;0.3875385865550959
0.09817477042468115;2.139231902009534;1.3675691693659482;0.8062351893845457;0.45510623941795275;0.3934164109919369;0.3873771862714371
0.1012427320004523;2.0654671792051755;1.3587112006428361;0.8045864083947613;0.4548264230573922;0.39324133562797203;0.38721077947385696
0.10431069357622347;1.993455541276251;1.3496791255157428;0.802892747423329;0.4545382966101615;0.3930610090855494;0.3870393770291322
0.10737865515199507;1.9232441882883653;1.340480234579675;0.8011547067614948;0.4542418868264431;0.39287544354516035;0.3868629901185214
0.11044661672776623;1.8548680402810087;1.3311218269740437;0.7993727971429326;0.4539372211828369;0.3926846515271361;0.3866816302360011
0.1135145783035374;1.7883509409349911;1.3216111987096513;0.7975475393940041;0.45362432787622387;0.3924886458896046;0.38649530918645364
0.11658253987930856;1.723706803196568;1.3119556313802734;0.7956794640800595;0.45330323581748533;0.3922874398263972;0.3863040390838102
0.11965050145508016;1.6609406905414392;1.3021623812806216;0.7937691111481999;0.4529739746250779;0.3920810468649036;0.3861078323491481
