k5;S5;k10;S10;k15;S15
0.0683977725;2.6087923369635087e-08;0.017099443124999995;1.669627095656635e-06;0.007599752500000002;1.9018096136464163e-05
0.07343564538849194;2.9834212816642636e-07;0.018524879863666067;2.5326789749891637e-05;0.008173369896289336;0.00022948469015517814
0.07884458537921443;2.401600530311382e-06;0.020069143272948585;0.0002479438624180416;0.008790283033765727;0.0019187274595074812
0.08465192360921794;1.4256163471983766e-05;0.021742138932847536;0.001671405495412103;0.009453759807052094;0.011682197979588676
0.09088700430441997;6.497522330592812e-05;0.02355459816824517;0.008198678472170628;0.010167314766330832;0.05406843044713476
0.09758133305469446;0.0002354730715339621;0.025518146884310935;0.03067394362945335;0.010934727734518514;0.19742419628066307
0.10476873601023878;0.0006994771702443704;0.027645380140135106;0.09111002155701128;0.01176006382963572;0.5872720947368862
0.11248553080362993;0.0017485877002620942;0.029949942938939;0.222312929237672;0.012647694998433916;1.4632448773396123
0.12077071006123266;0.0037636521183561805;0.0324466177530854;0.45877734138016313;0.013602323175346685;3.1279279584146065
0.12966613843123406;0.007114609152940025;0.035151419345312844;0.8208137288196705;0.014629005189442332;5.856933015418347
0.13921676412387862;0.01201662431697034;0.038081697494418726;1.3003678626270172;0.01573317955131412;9.780222658199895
0.14947084603280722;0.018407055393951238;0.041256248284318335;1.8573036772344997;0.01692069526180303;14.792043173839987
0.1604801975851349;0.025904691493175553;0.04469543467033677;2.428590085716624;0.018197842795157657;20.536772709660262
0.17230044855243037;0.03387207322385637;0.048421317096098364;2.945467429636443;0.01957138742075446;26.478645329224996
0.184991326145517;0.04155326660081023;0.05245779499884751;3.3505601821434854;0.021048605039889166;32.02372701776182
0.19861695681345531;0.04823239294908042;0.05683076011087776;3.608800888093417;0.022637320727472897;36.645781406789055
0.21324619027168354;0.05336132549157671;0.061568262540411624;3.710225518922216;0.024345950182795225;39.97659852771392
0.22895294739661629;0.05662792112235232;0.06670069069724617;3.6662311943547423;0.026183544308925624;41.843740014280215
0.24581659374459833;0.05796247455732962;0.07226096621728637;3.5024288810697173;0.028159837156898286;42.26005192970774
0.26392234058258707;0.057498181710625214;0.07828475513629703;3.25101908646983;0.030285297488648746;41.38158402464554
0.28336167545695523;0.055507975390616554;0.08481069666743418;2.9445571754774438;0.032571184231840265;39.452964861501606
0.30423282447605876;0.05233774612064821;0.09188065105003487;2.6118402988540295;0.03502960612033314;36.75524464069403
0.32664124864246363;0.04834927924249073;0.09953996805947563;2.2608472352515916;0.0376735858362234;33.5648684097961
0.3507001767427759;0.04387908428438432;0.10783777790043933;1.8507068740242276;0.04051712899322187;30.12668358558176
0.3765311774877455;0.03921379701273348;0.11682730634950679;1.5149700890958484;0.04357529832679043;26.63999425681707
0.4042647737936407;0.03400712293089511;0.12656621616853536;1.2401393251978192;0.046864293484033294;22.297237141731436
0.4340411023088318;0.02847131576949728;0.13711697697879902;1.0151656190175322;0.05040153683600432;18.58860465368532
0.4660106215181426;0.02383664842655437;0.14854726596842427;0.8310044000490739;0.05420576576699251;15.496817872316013
0.5003348720029888;0.019956429911036706;0.1609304020034343;0.6802518736265419;0.0582971319296579;12.919278703180526
0.5371872926988664;0.016707848153681225;0.1743458159269796;0.5568473677235689;0.06269730799178966;10.770453884859517
0.5767540972747027;0.013988082904566802;0.18887956006345885;0.4558296770299927;0.06742960244014183;8.979036646513213
0.6192352150623742;0.011711051388124357;0.20462486019571327;0.373137608657785;0.07251908304948261;7.485580458414712
0.6648453012908724;0.009804683712899857;0.22168271355591612;0.3054467108572092;0.07799270967089349;6.240526353652972
0.7138148217297804;0.008208641800561318;0.24016253666593276;0.25003562078208286;0.08387947704272139;5.202558359494472
0.7663912172227209;0.006872409636386673;0.2601828671826822;0.20467665811145336;0.09021056838067705;4.337232464909144
0.822840153995109;0.005753694396098378;0.28187212425044245;0.1675462660860592;0.09701952056067298;3.615833627811569
0.8834468660539624;0.004817087843401293;0.30536943223733215;0.13715169943938507;0.1043424017694035;3.01442289285612
0.9485175964628574;0.004032945630360929;0.33082551313977343;0.11227101187361926;0.112218002563711;2.51304299926856
1.0183811447747233;0.003292836544404277;0.3584036533792082;0.09190393040962135;0.1206880413508143;2.095056117541976
1.0933905284415955;0.0026605737380518144;0.38828075119252453;0.07523164162271924;0.1297973853778617;1.7465917383998502
1.173924766596351;0.0021497127233660288;0.42064845133461237;0.06158387305882651;0.13959428840142882;1.456086392730324
1.2603907952197977;0.0017369429483521067;0.45571437437152673;0.050411946411972684;0.1501306462959379;1.2138999285219054
1.3532255233703756;0.0014034297573493422;0.49370344844948144;0.04126671912580549;0.16146227195499854;1.0119956113044666
1.4528980408665109;0.0011339549670244175;0.5348593520822217;0.03378052760990907;0.17364919094187167;0.8436734325234345
1.5599119885769346;0.0009162224617414211;0.5794460772114431;0.02765240613785822;0.18675595945516538;0.7033477759314659
1.6748081032959516;0.0007402971226743698;0.627749622566411;0.022635987185475083;0.20085200629408384;0.5863620640616687
1.7981669500628006;0.0005981514890373218;0.6800798281847255;0.018529596769130293;0.21601200063467602;0.48883423399647297
1.9306118557313825;0.0004832994656160495;0.7367723628616533;0.015168146589056618;0.23231624756525857;0.40752791468794086
2.072812058613577;0.000390500362701806;0.7981908772763917;0.012010662168209322;0.2498511134762329;0.339745030967628
2.2254860901111453;0.00031551976379029804;0.8647293366063572;0.009445971956477364;0.26870948355765684;0.2832362704090623
2.3894054054234513;0.0002549363094558698;0.9368145475919075;0.007428931473723939;0.28899125382801677;0.2361264419681829
2.565398281676825;0.0002059855809627196;1.0149088962611916;0.005842598633028001;0.31080386030055873;0.19685224949702249
2.7543540031726295;0.00016643396003336973;1.099513313876092;0.004595002512374714;0.33426284809026363;0.16411041520204198
2.957227354901922;0.00013447670900454135;1.191170490124132;0.0036138111505431927;0.3594924834761258;0.13681443157189116
3.1750434470322197;0.00010865562077514598;1.2904683541671642;0.002842137952298253;0.3866264121609297;0.11405850662718575
3.4089028947443145;8.77924809193408e-05;1.3980438458758053;0.0022352435705679714;0.4158083672154447;0.09508750604864126
3.6599873795926197;7.093530584556973e-05;1.5145870014399654;0.0017579420504160283;0.44719293045713476;0.07927189474079493
3.929565620490338;5.7314903852588756e-05;1.640845379562359;0.0013825608506497034;0.4809463512965394;0.06608684629020073
4.218999784490608;4.630977696652747e-05;1.7776288566265377;0.0010873364711039232;0.5172474273888958;0.055094827084723644
4.5297523697570155;3.741776203229691e-05;1.9258148215977466;0.0008551526687803094;0.5562884517559621;0.045931077163985645
4.863393595502795;3.023311704434684e-05;2.0863538039789686;0.0006725481083164905;0.5982762313951119;0.03829150599636567
5.221609336239801;2.4428007167664642e-05;2.2602755709223197;0.0005289359132725417;0.6434331827714441;0.03192260151507115
5.606209640428639;1.9737545657462774e-05;2.44869573260534;0.00041598987010884773;0.6919985099959178;0.02647680859432599
6.019137876574305;1.594770709577793e-05;2.652822898241939;0.0003271616987636152;0.7442294719305278;0.021284356320750816
6.462480552982202;1.288556142682151e-05;2.8739664286297844;0.00025730140259497096;0.8004027449325858;0.01711021259880035
6.938477860793289;1.0411383170805571e-05;3.1135448349623487;0.0002023586866916193;0.8608158884568079;0.01375467365620896
7.449534993571876;8.412275760228666e-06;3.373094877779274;0.00015914813366207947;0.9257889212787421;0.011057200271173784
7.998234300643429;6.797020077537285e-06;3.6542814244196884;0.00012516452248400936;0.9956660166890761;0.008888737086128352
8.58734833559271;5.491912133300637e-06;3.958908128208489;9.843758314255366e-05;1.07081732563854;0.007145538205648815
9.219853865855685;4.437399958448538e-06;4.288928997876554;7.741776615796858e-05;1.1516409374909375;0.005744203676255742
9.898946914195118;3.5853662522029766e-06;4.646460931426203;6.0886404255011925e-05;1.2385649887707324;0.004617689378160537
10.628058908063698;2.896932793121156e-06;5.033797294839587;4.788505761137813e-05;1.3320499310756029;0.0037120994300022573
11.410874018456783;2.340686428681245e-06;5.453422632729779;3.765994633006521e-05;1.4325909701674648;0.0029841076454303348
12.251347775867238;1.8912456954414567e-06;5.9080286052951045;2.9618248493517562e-05;1.540720689162269;0.0023988846761478517
