k	A
0.0683977725	3.6379661489340594e-06
0.06863551325103205	3.883996151463316e-06
0.06887408035448228	4.144701951673457e-06
0.06911347668263194	4.420803543528268e-06
0.06935370511774608	4.713086216116985e-06
0.06959476855210789	5.022355672919563e-06
0.06983666988805391	5.349430521420224e-06
0.07007941203800862	5.695184257967915e-06
0.0703229979245198	6.060528989265585e-06
0.07056743048029347	6.446359920726748e-06
0.07081271264822941	6.853677588956715e-06
0.07105884738145639	7.283472506768366e-06
0.0713058376433679	7.73676730569979e-06
0.07155368640765779	8.214655318831676e-06
0.07180239665835592	8.718245479351612e-06
0.07205197138986433	9.248660507250445e-06
0.07230241360699305	9.807127641563949e-06
0.07255372632499653	1.0394839577373311e-05
0.07280591256960967	1.1013059026185764e-05
0.0730589753770845	1.1663132949232911e-05
0.07331291779422652	1.2346361956458473e-05
0.07356774287843161	1.3064165405335052e-05
0.07382345369772256	1.381798309605314e-05
0.07408005333078632	1.460925955008625e-05
0.07433754486701076	1.543953235314697e-05
0.07459593140652215	1.6310393066217996e-05
0.0748552160602223	1.722337636343172e-05
0.075115401949826	1.818020805836423e-05
0.07537649220789877	1.918256556120802e-05
0.07563848997789438	2.023216800538144e-05
0.07590139841419291	2.133084838295219e-05
0.07616522068213845	2.248044325808392e-05
0.07642995995807753	2.368279007162038e-05
0.07669561942939705	2.4939902719456457e-05
0.07696220229456295	2.6253698072691124e-05
0.07722971176315843	2.7626202262157993e-05
0.07749815105592286	2.9059570358889334e-05
0.0777675234047904	3.0555840397360116e-05
0.07803783205292887	3.211724481341456e-05
0.07830908025477899	3.3746021965265644e-05
0.07858127127609332	3.544438780959732e-05
0.07885440839397584	3.7214700753399196e-05
0.07912849489692111	3.9059381398848064e-05
0.0794035340848542	4.0980717669797915e-05
0.07967952926917007	4.298131078547566e-05
0.07995648377277376	4.5063636393881845e-05
0.08023440093012009	4.723021531095772e-05
0.0805132840872541	4.948373345151658e-05
0.08079313660185117	5.182684713227031e-05
0.08107396184325737	5.426218044917343e-05
0.08135576319253028	5.679262817729516e-05
0.08163854404247942	5.942087867802188e-05
0.08192230779770734	6.214977631057996e-05
0.08220705787465035	6.498234339267779e-05
0.08249279770161996	6.79213682834154e-05
0.08277953071884385	7.096992984432418e-05
0.08306726037850758	7.4131076457248e-05
0.0833559901447958	7.740778117220491e-05
0.08364572349393438	8.080321730355645e-05
0.083936463914232	8.432061405906384e-05
0.08422821490612203	8.796295107270557e-05
0.08452097998220508	9.173367696477995e-05
0.08481476266729082	9.563599082576608e-05
0.08510956649844087	9.967313157856103e-05
0.08540539502501096	0.00010384855696137565
0.08570225180869405	0.00010816563628398568
0.08600014042356285	0.00011262765000833737
0.08629906445611323	0.0001172382603115768
0.08659902750530696	0.0001220007639100151
0.08690003318261552	0.00012691866483402145
0.08720208511206315	0.00013199569173235224
0.08750518693027079	0.00013723517742356936
0.08780934228649977	0.00014264085531799287
0.08811455484269555	0.0001482163679862503
0.0884208282735322	0.00015396520374278677
0.08872816626645624	0.00015989111317926683
0.0890365725217314	0.0001659978776792036
0.08934605075248278	0.00017228887777708308
0.089656604684742	0.0001787681405985891
0.08996823805749159	0.00018543927736245676
0.09028095462271045	0.00019230592609467548
0.09059475814541863	0.00019937199331974539
0.09090965240372305	0.00020664121588852096
0.09122564118886256	0.0002141171658412328
0.09154272830525396	0.00022180391443431827
0.09186091757053767	0.00022970497123488213
0.09218021281562351	0.00023782410566261346
0.09250061788473718	0.0002461653495723391
0.09282213663546617	0.00025473214863680054
0.09314477293880659	0.00026352846230409357
0.09346853067920934	0.00027255808071623605
0.09379341375462732	0.00028182454370398886
