rho0;K_h5;K0_h5;rho1;K_h7;K0_h7;rho2;K_h10;K0_h10;rho3;K_h15;K0_h15
0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0
0.2002002002002002;0.9886721666080599;0.9880859609137781;0.4004004004004004;0.9863612293358699;0.9855123566760658;0.6006006006006006;0.9904466444873832;0.9898016089558264;0.8008008008008008;0.9951276203019177;0.9949381891983019
0.4004004004004004;0.9636710321359412;0.9616077944348984;0.8008008008008008;0.9573011214016488;0.9543792805043428;1.2012012012012012;0.9703343207749325;0.9681117864014671;1.6016016016016017;0.9847971547548853;0.984136517075727
0.6006006006006006;0.9299701784353426;0.9258006774468575;1.2012012012012012;0.9192662179357681;0.9134754601739;1.8018018018018018;0.9442426206387717;0.9398261124264391;2.4024024024024024;0.9713806499212411;0.9700508620565514
0.8008008008008008;0.8901272577337944;0.8834035165241668;1.6016016016016017;0.8754610647376653;0.8662869264102516;2.4024024024024024;0.914372557510808;0.9073437261886246;3.2032032032032034;0.9559511615902904;0.9538043215794602
1.001001001001001;0.8458602291341805;0.8362754737616941;2.002002002002002;0.8279509621671169;0.8150831587147666;3.003003003003003;0.8820714482834718;0.8721467149309509;4.004004004004004;0.9391456491113704;0.9360671607949947
1.2012012012012012;0.7984396712161167;0.7857998422498355;2.4024024024024024;0.7781760216072349;0.7614549182792759;3.6036036036036037;0.8482161715237835;0.8352046787805016;4.804804804804805;0.921346160083447;0.9172414060074672
1.4014014014014016;0.7488528750763506;0.7330565223112143;2.802802802802803;0.7271726242421196;0.7065502898220883;4.2042042042042045;0.8133860393462664;0.7971606787681514;5.605605605605606;0.9027787805766877;0.8975680836326507
1.6016016016016017;0.6978841553768352;0.6789062732389202;3.2032032032032034;0.6756960518536735;0.6512064386938644;4.804804804804805;0.7779621845446049;0.7584401241589603;6.406406406406407;0.8835882846591637;0.8772023812665634
1.8018018018018018;0.6461704180544618;0.6240478429272408;3.6036036036036037;0.6242954562826378;0.5960311461904972;5.405405405405405;0.7421931455612135;0.7193236231151645;7.207207207207207;0.8638599426202406;0.8562378222636352
2.002002002002002;0.5942321479466431;0.5690530057307837;4.004004004004004;0.5733660552855022;0.5414617176322734;6.006006006006006;0.7062413850677564;0.6799989635140969;8.008008008008009;0.84365762466349;0.8347480289303921
2.2022022022022023;0.5424949116694945;0.5143884393035011;4.404404404404405;0.5231889386965151;0.4878086929401201;6.606606606606607;0.6702170731689141;0.6405987347030331;8.80880880880881;0.8230385963027488;0.8127982463668794
2.4024024024024024;0.4913093230237231;0.46043684128991985;4.804804804804805;0.4739600059390835;0.4352887605759655;7.207207207207207;0.634202241829233;0.601226844521636;9.60960960960961;0.802055198541383;0.7904503893087739
2.6026026026026026;0.44096083738189085;0.40750951053550705;5.205205205205205;0.4258136981116402;0.3840522349474385;7.807807807807808;0.5982671498860722;0.5619759672492052;10.41041041041041;0.7807684562842665;0.7677748537010598
2.802802802802803;0.3916808549733932;0.3558565512281253;5.605605605605606;0.3788421959668769;0.33420354830555427;8.408408408408409;0.5624802460396102;0.5229375681161155;11.211211211211213;0.7592384251198636;0.74483903035487
3.0030030030030033;0.3436561614202919;0.3056781858329843;6.0060060060060065;0.33310905512922173;0.2858173176667863;9.00900900900901;0.5269130022742197;0.484206083099476;12.012012012012013;0.7375239524964915;0.7217100086682968
3.2032032032032034;0.2970332339421445;0.2571305456172185;6.406406406406407;0.28866086078683834;0.23895104801666656;9.60960960960961;0.4916408811078369;0.44587884112112386;12.812812812812814;0.7156827714424758;0.6984506062673378
3.4034034034034035;0.2519262326350052;0.21033252778300107;6.806806806806807;0.24553554400585792;0.19365309590417654;10.21021021021021;0.45674168157470957;0.40805328275624714;13.613613613613614;0.693761288585177;0.6751116337190117
3.6036036036036037;0.20842134903079107;0.1653726432823807;7.207207207207207;0.20376710369961795;0.14996857327717053;10.81081081081081;0.4222924270257516;0.37082290293309517;14.414414414414415;0.6718002973866131;0.6517380293039428
3.8038038038038042;0.16657994834593964;0.1223121728942008;7.6076076076076085;0.16338976422151916;0.10794246956967328;11.411411411411411;0.3883658034642699;0.33427311876985805;15.215215215215217;0.649831647238619;0.6283632796074146
4.004004004004004;0.12644452631072137;0.08119055047598608;8.008008008008009;0.12443930646340187;0.06762021814624063;12.012012012012011;0.3550269453054363;0.2984779568895325;16.016016016016017;0.6278780852336607;0.6050136174706017
4.2042042042042045;0.08804020474900573;0.04202938668953865;8.408408408408409;0.08695258326690931;0.029047659684212513;12.612612612612613;0.32233111846270246;0.2634981054318258;16.816816816816818;0.6059607980395463;0.5817126544145252
4.404404404404405;0.051378053505210707;0.004834509376063737;8.80880880880881;0.050967643997557655;-0.0077308083044503005;13.213213213213214;0.2903225956552708;0.22938052843397055;17.61761761761762;0.5840956947171236;0.5584788864666507
4.604604604604605;0.016458831333589052;-0.030399806790385255;9.20920920920921;0.01652148167600592;-0.04267444790139924;13.813813813813814;0.2590347777781701;0.19615953571415248;18.41841841841842;0.5622992590034485;0.535333250363141
4.804804804804805;-0.01672681632706488;-0.0636888482956872;9.60960960960961;-0.016352163856298677;-0.07574817588594385;14.414414414414415;0.2284914051073525;0.16385897104720673;19.21921921921922;0.5405900238111911;0.5122967857548415
5.005005005005005;-0.04819480512857346;-0.09505590342640813;10.01001001001001;-0.04762352136309165;-0.1069251501905179;15.015015015015015;0.1987085340800459;0.1324950434617573;20.02002002002002;0.5189851610940548;0.4893907712256706
