rho0;K_h5;K0_h5;rho1;K_h7;K0_h7;rho2;K_h10;K0_h10;rho3;K_h15;K0_h15
0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0
0.2002002002002002;0.9883659931068125;0.988085666781617;0.4004004004004004;0.9858701706191918;0.9855122010878171;0.6006006006006006;0.990065596976921;0.9898015998629995;0.8008008008008008;0.9950576701927188;0.9949376018882675
0.4004004004004004;0.962475071394168;0.9616075745608837;0.8008008008008008;0.9554529173411244;0.9543792310974055;1.2012012012012012;0.9688968437653654;0.9681117523374576;1.6016016016016017;0.984491776596173;0.9841362755044601
0.6006006006006006;0.9274210631344046;0.9258007013418236;1.2012012012012012;0.9154274886374619;0.913475443973403;1.8018018018018018;0.9412448369875985;0.9398260529484472;2.4024024024024024;0.9706942738470672;0.9700506864588001
0.8008008008008008;0.8858706844441615;0.8834032285907553;1.6016016016016017;0.8691855420688727;0.8662868115923223;2.4024024024024024;0.9094437067010436;0.9073436593782639;3.2032032032032034;0.9547626092196194;0.9538037274423223
1.001001001001001;0.8396340844440122;0.8362753788508355;2.002002002002002;0.8189388793003587;0.8150832259858931;3.003003003003003;0.8749407352980489;0.8721466666006396;4.004004004004004;0.937353394746159;0.9360671926196805
1.2012012012012012;0.7900606785924909;0.7857998896899613;2.4024024024024024;0.7662434887307618;0.7614548622194612;3.6036036036036037;0.8386873587560452;0.8352046706146182;4.804804804804805;0.9188657173480362;0.9172409082322552
1.4014014014014016;0.7382050812588961;0.7330562759224141;2.802802802802803;0.7122255091738053;0.7065503070032106;4.2042042042042045;0.8013187258348804;0.7971607172560152;5.605605605605606;0.8995379294942681;0.8975678323555597
1.6016016016016017;0.6849078339081369;0.6789063024403482;3.2032032032032034;0.657708220968841;0.6512065158403121;4.804804804804805;0.7632576767910377;0.7584401974981366;6.406406406406407;0.8795255833299276;0.8772023104517466
1.8018018018018018;0.6308546994542089;0.6240478964981682;3.6036036036036037;0.6032958261103326;0.5960311164404714;5.405405405405405;0.724785066308146;0.719323707839513;7.207207207207207;0.8589228857946826;0.8562372654400776
2.002002002002002;0.5766067967132694;0.56905282288325;4.004004004004004;0.549429175966032;0.5414618448073596;6.006006006006006;0.686092109795504;0.6799990378052868;8.008008008008009;0.8378003448573557;0.8347480974733211
2.2022022022022023;0.522622160092556;0.5143885690103769;4.404404404404405;0.49641068801339966;0.4878087289767623;6.606606606606607;0.6473075766002994;0.6405987896986426;8.80880880880881;0.8162230513700204;0.8127978592044484
2.4024024024024024;0.46928166799409604;0.46043688059879456;4.804804804804805;0.44446430560006067;0.43528882886356335;7.207207207207207;0.6085291968594864;0.601226887467985;9.60960960960961;0.7942485813546283;0.7904501379904653
2.6026026026026026;0.4168909332403579;0.40750939988918944;5.205205205205205;0.3937363897460243;0.3840523691161603;7.807807807807808;0.5698623741095912;0.5619760154893841;10.41041041041041;0.7719439237906125;0.7677748837386218
2.802802802802803;0.3656997491902013;0.35585674656051913;5.605605605605606;0.3443441732048542;0.3342035822017697;8.408408408408409;0.5313686043780659;0.522937638677247;11.211211211211213;0.7493753376131688;0.7448385288222595
3.0030030030030033;0.31591165543479377;0.3056782041058919;6.0060060060060065;0.2963509445798448;0.2858174643563499;9.00900900900901;0.4931680752144617;0.4842061838839348;12.012012012012013;0.7266050208030534;0.7217101045440254
3.2032032032032034;0.26768365538214894;0.25713051509530677;6.406406406406407;0.2498357802530912;0.23895113983066354;9.60960960960961;0.45533346526088675;0.4458789680860854;12.812812812812814;0.7036971016302735;0.698450337012737
3.4034034034034035;0.22112533889776492;0.21033275495393247;6.806806806806807;0.2048295877822139;0.19365319271588138;10.21021021021021;0.41795744159845954;0.40805342362714725;13.613613613613614;0.6807011429916484;0.6751113887854655
3.6036036036036037;0.17634067301708575;0.16537264126255644;7.207207207207207;0.16137075976696583;0.14996873091069826;10.81081081081081;0.38112784911178255;0.37082304466669996;14.414414414414415;0.657660990149991;0.6517381490834577
3.8038038038038042;0.1333960961152049;0.12231221527218798;7.6076076076076085;0.1195083993870589;0.10794255667615732;11.411411411411411;0.34495366344064765;0.3342732541416857;15.215215215215217;0.6346143582169537;0.6283628466364053
4.004004004004004;0.09233411989987525;0.08119077138417798;8.008008008008009;0.07930396112434752;0.06762037273217487;12.012012012012011;0.30949330802854425;0.2984780866068981;16.016016016016017;0.6115835066359125;0.6050137278369864
4.2042042042042045;0.05317188724709959;0.04202936607548024;8.408408408408409;0.040795958789801974;0.029047789392599464;12.612612612612613;0.27477393957971263;0.26349823525988636;16.816816816816818;0.5885950444844046;0.5817124989808617
4.404404404404405;0.01590159987896617;0.004834605598221017;8.80880880880881;0.003968786275624889;-0.007730690078269363;13.213213213213214;0.24092422118466447;0.22938066399389748;17.61761761761762;0.5656680487355789;0.5584786489227986
4.604604604604605;-0.019431526458948283;-0.030399621329868995;9.20920920920921;-0.031025994634428674;-0.04267429702274165;13.813813813813814;0.20788446101147023;0.1961596786379003;18.41841841841842;0.5428162336879667;0.5353334391729532
4.804804804804805;-0.0528821700170664;-0.06368887649903206;9.60960960960961;-0.0642822750396455;-0.07574806872422968;14.414414414414415;0.17577099758535256;0.16385911859865787;19.21921921921922;0.5200690675948613;0.5122964274858486
5.005005005005005;-0.08444640377232945;-0.09505576992182439;10.01001001001001;-0.09565261903205803;-0.10692502530931007;15.015015015015015;0.1445538618665685;0.13249519113158642;20.02002002002002;0.4974402301826074;0.4893908839191884
