T	P_model	P_retr
0.0	0.0	219.77745468634106
3e-09	0.0	219.77745468634106
6e-09	0.0	219.77745468634106
9e-09	0.0	219.77745468634106
1.2e-08	0.0	219.77745468634106
1.5e-08	0.0	219.77745468634106
1.8e-08	0.0	219.77745468634106
2.1e-08	0.0	219.77745468634106
2.4e-08	0.0	219.77745468634106
2.7e-08	0.0	219.77745468634106
3e-08	0.0	219.77745468634106
3.3e-08	0.0	219.77745468634106
3.6e-08	0.0	219.77745468634106
3.9e-08	0.0	219.77745468634106
4.2e-08	0.0	219.77745468634106
4.5e-08	0.0	219.77745468634106
4.8e-08	0.0	219.77745468634106
5.1e-08	0.0	219.77745468634106
5.4e-08	0.0	219.77745468634106
5.7e-08	0.0	219.77745468634106
6e-08	0.0	219.77745468634106
6.3e-08	0.0	219.77745468634106
6.6e-08	0.0	219.77745468634106
6.9e-08	0.0	219.77745468634106
7.2e-08	0.0	219.77745468634106
7.5e-08	0.0	219.77745468634106
7.8e-08	0.0	219.77745468634106
8.1e-08	0.0	219.77745468634106
8.4e-08	0.0	219.77745468634106
8.7e-08	0.0	219.77745468634106
9e-08	0.0	219.77745468634106
9.3e-08	0.0	219.77745468634106
9.6e-08	0.0	219.77745468634106
9.9e-08	0.0	219.77745468634106
1.02e-07	0.0	219.77745468634106
1.05e-07	0.0	219.77745468634106
1.08e-07	0.0	219.77745468634106
1.11e-07	0.0	219.77745468634106
1.14e-07	0.0	219.77745468634106
1.17e-07	0.0	219.77745468634106
1.2e-07	0.0	219.77745468634106
1.23e-07	0.0	219.77745468634106
1.26e-07	0.0	219.77745468634106
1.29e-07	0.0	219.77745468634106
1.32e-07	0.0	219.77745468634106
1.35e-07	0.0	219.77745497161473
1.38e-07	0.0	219.78494204270598
1.41e-07	0.0	235.89611721513333
1.44e-07	0.0	3240.550239413802
1.47e-07	58656.857011374355	57399.51217692713
1.5e-07	164179.6397710805	166270.13891376683
1.53e-07	200000.0	185102.85960443647
1.56e-07	197212.20762018833	175043.27405443083
1.59e-07	162317.931063355	164777.8243970426
1.62e-07	151408.85976878362	155113.18377607298
1.65e-07	143627.7171861308	146016.15566568423
1.68e-07	124583.20385704769	137453.40414204882
1.71e-07	114412.7309779843	129393.5506639972
1.74e-07	116242.50642176601	121807.0595801033
1.77e-07	85313.31025255761	114666.12989413134
1.8e-07	104082.35562776349	107944.59338718776
1.83e-07	118667.01533893471	101617.81872324897
1.86e-07	96074.91821331598	95662.62118665793
1.89e-07	87906.26492328099	90057.17772081743
1.92e-07	103656.5062403497	84780.94695673783
1.9499999999999999e-07	67799.50237303646	79814.59393837822
1.98e-07	75639.84854663702	75139.91926893701
2.0099999999999999e-07	58077.15416052712	70739.79241844328
2.04e-07	69479.26642200389	66598.08894825267
2.07e-07	55773.86349517742	62699.63142240581
2.1e-07	64794.24935565706	59030.13378931402
2.13e-07	61672.03532575166	55576.149029959495
2.16e-07	51844.44016804696	52325.01988076265
2.19e-07	50041.5241752828	49264.832450540045
2.22e-07	59440.0913947729	46384.37256157928
2.25e-07	43592.71956598018	43673.084654842096
2.28e-07	44241.24985369402	41121.0331087011
2.31e-07	41017.7379374948	38718.86582946208
2.34e-07	32751.43896841958	36457.77998024706
2.37e-07	34888.00723252445	34329.48972265106
2.4e-07	40928.31313762938	32326.19585295979
2.43e-07	29045.341348108548	30440.557221659714
2.46e-07	31325.187598448323	28665.66383150564
2.49e-07	29401.584633870236	26995.011515562874
2.52e-07	30514.393204634922	25422.478102430603
2.55e-07	23292.566637377695	23942.300981302895
2.58e-07	23819.0495740579	22549.05598465392
2.61e-07	24806.259331613885	21237.637511161705
2.64e-07	16317.310849950138	20003.23981603046
2.67e-07	16133.430069179436	18841.339400148892
2.7e-07	14837.550907468558	17747.67843354914
2.73e-07	18683.129097016827	16718.24915242062
2.76e-07	16381.028470044006	15749.279172501247
2.79e-07	15237.494001983834	14837.217665026228
2.82e-07	18690.51200976216	13978.722344575972
2.85e-07	13831.821646811746	13170.647221138972
2.88e-07	14344.36993092597	12410.031071507285
2.91e-07	12417.023927845621	11694.086587756978
2.94e-07	12330.129861094665	11020.190163048308
2.9699999999999997e-07	10852.65747221715	10385.8722773147
3e-07	9347.10580754684	9788.808447608972
3.03e-07	8988.179837305748	9226.810709943747
3.06e-07	9688.246586603687	8697.81960141103
3.09e-07	8588.381964364598	8199.896613199002
