T;P
0.010006022855944562;0.0
0.010006041065673692;0.0
0.010006059275402825;0.0
0.010006077485131956;0.0
0.010006095694861087;0.0
0.01000611390459022;0.0
0.01000613211431935;0.0
0.010006150324048481;0.0
0.010006168533777613;0.0
0.010006186743506744;0.0
0.010006204953235875;0.0
0.010006223162965008;0.0
0.010006241372694138;0.0
0.01000625958242327;0.0
0.010006277792152402;0.0
0.010006296001881533;0.0
0.010006314211610664;0.0
0.010006332421339796;0.0
0.010006350631068927;0.0
0.010006368840798058;0.0
0.01000638705052719;0.0
0.010006405260256321;0.0
0.010006423469985452;0.0
0.010006441679714585;0.0
0.010006459889443715;0.0
0.010006478099172846;0.0
0.010006496308901979;0.0
0.01000651451863111;0.0
0.01000653272836024;0.0
0.010006550938089373;0.0
0.010006569147818504;0.0
0.010006587357547635;0.0
0.010006605567276767;0.0
0.010006623777005898;7.625109810872701e-26
0.010006641986735029;3.037162728037658e-25
0.010006660196464161;2.369523512654979e-25
0.010006678406193292;3.7223653703386273e-25
0.010006696615922423;4.983497638112021e-25
0.010006714825651556;2.902180350162099e-25
0.010006733035380687;3.5221887686267337e-25
0.010006751245109817;7.835348274399573e-25
0.01000676945483895;6.805343535036673e-25
0.01000678766456808;8.839999106995627e-25
0.010006805874297212;7.8621130290706945e-25
0.010006824084026344;1.397539085988207e-24
0.010006842293755475;8.299939206922332e-25
0.010006860503484606;5.261645406410609e-25
0.010006878713213738;9.688117054171466e-25
0.01000689692294287;1.2606372186661138e-24
0.010006915132672;1.5642755896514121e-24
0.010006933342401133;2.6418742985399524e-24
0.010006951552130263;2.7177584452770632e-24
0.010006969761859396;2.628087528281684e-24
0.010006987971588527;2.414493525190075e-24
0.010007006181317658;2.4056192290039354e-24
0.01000702439104679;3.1202769622515954e-24
0.010007042600775921;2.2404096810026953e-24
0.010007060810505052;2.8328834300695274e-24
0.010007079020234184;2.749430276702505e-24
0.010007097229963315;2.5285598239145946e-24
0.010007115439692446;2.732639231300513e-24
0.010007133649421579;1.877674065656062e-24
0.01000715185915071;2.4471154371028927e-24
0.01000717006887984;2.6891822432519535e-24
0.010007188278608973;2.3046806562035386e-24
0.010007206488338104;2.308081663969216e-24
0.010007224698067235;1.998272496221904e-24
0.010007242907796367;2.5124246383412108e-24
0.010007261117525498;1.98357615326273e-24
0.010007279327254629;1.594010695251212e-24
0.010007297536983761;2.0476729342412684e-24
0.010007315746712892;1.57905249514827e-24
0.010007333956442023;1.3174516272753343e-24
