T	P_model	P_retr
0.0	0.0	-186.91054720686557
3e-09	0.0	-186.91054720686557
6e-09	0.0	-186.91054720686557
9e-09	0.0	-186.91054720686557
1.2e-08	0.0	-186.91054720686557
1.5e-08	0.0	-186.91054720686557
1.8e-08	0.0	-186.91054720686557
2.1e-08	0.0	-186.91054720686557
2.4e-08	0.0	-186.91054720686557
2.7e-08	0.0	-186.91054720686557
3e-08	0.0	-186.91054720686557
3.3e-08	0.0	-186.91054720686557
3.6e-08	0.0	-186.91054720686557
3.9e-08	0.0	-186.91054720686557
4.2e-08	0.0	-186.91054720686557
4.5e-08	0.0	-186.91054720686557
4.8e-08	0.0	-186.91054720686557
5.1e-08	0.0	-186.91054720686557
5.4e-08	0.0	-186.91054720686557
5.7e-08	0.0	-186.91054720686557
6e-08	0.0	-186.91054720686557
6.3e-08	0.0	-186.91054720686557
6.6e-08	0.0	-186.91054720686557
6.9e-08	0.0	-186.91054720686557
7.2e-08	0.0	-186.91054720686557
7.5e-08	0.0	-186.91054720686557
7.8e-08	0.0	-186.91054720686557
8.1e-08	0.0	-186.91054720686557
8.4e-08	0.0	-186.91054720686557
8.7e-08	0.0	-186.91054720686557
9e-08	0.0	-186.91054720686557
9.3e-08	0.0	-186.91054720686557
9.6e-08	0.0	-186.91054720686557
9.9e-08	0.0	-186.91054720686557
1.02e-07	0.0	-186.91054720686557
1.05e-07	0.0	-186.91054720686557
1.08e-07	0.0	-186.91054720686557
1.11e-07	0.0	-186.91054720686557
1.14e-07	0.0	-186.91054720495669
1.17e-07	0.0	-186.9105469036699
1.2e-07	0.0	-186.9105166568545
1.23e-07	0.0	-186.90858927497422
1.26e-07	0.0	-186.8305600433187
1.29e-07	0.0	-184.8214932334749
1.32e-07	0.0	-151.88886856893242
1.35e-07	0.0	192.11366531010916
1.38e-07	0.0	2483.4884460585954
1.41e-07	15883.945265809221	12217.023842015831
1.44e-07	48946.773024281996	38553.38411553589
1.47e-07	68842.86565560418	83740.77251952003
1.5e-07	132637.79524608445	132221.14748707693
1.53e-07	186407.3048005104	163114.67260036984
1.56e-07	133566.92321072705	171709.44387442456
1.59e-07	200000.0	167423.36862279972
1.62e-07	172296.28672875764	159160.76562230283
1.65e-07	131732.7350742005	150491.655364662
1.68e-07	111827.50343030288	142191.41929708852
1.71e-07	132477.6302424694	134340.24409800148
1.74e-07	124471.03394449492	126921.59775344683
1.77e-07	127492.3235674507	119912.04778876698
1.8e-07	104358.83144631457	113289.04753957946
1.83e-07	136963.78783236028	107031.28053231748
1.86e-07	91599.30047824698	101118.60554784533
1.89e-07	95065.31909124649	95531.99207513711
1.92e-07	99787.78544153838	90253.45906336019
1.9499999999999999e-07	107577.34607587046	85266.0170481689
1.98e-07	77625.61573905751	80553.61346948551
2.0099999999999999e-07	70635.75723385156	76101.08100479779
2.04e-07	79793.37612140553	71894.08875167703
2.07e-07	68603.5329102147	67919.09610239635
2.1e-07	53299.25945189623	64163.309162186364
2.13e-07	54260.7661634808	60614.63957085911
2.16e-07	56236.16967074767	57261.66559526213
2.19e-07	75453.6316658842	54093.59536733604
2.22e-07	43746.65916782658	51100.23214945283
2.25e-07	42326.08567718642	48271.941515238716
2.28e-07	45508.24744777153	45599.620340249356
2.31e-07	45317.95613180869	43074.66750269178
2.34e-07	45976.29676124637	40688.956199889515
2.37e-07	36144.01053203495	38434.807791389336
2.4e-07	28444.978348654106	36304.967084521035
2.43e-07	29297.18173935421	34292.57898286476
2.46e-07	35202.40491377599	32391.1664224661
2.49e-07	29969.52809419916	30594.609524785094
2.52e-07	26514.242187672437	28897.125899280658
2.55e-07	25538.285546378047	27293.252032232467
2.58e-07	22595.418586374566	25777.82570189855
2.61e-07	27146.5748321823	24345.969363409855
2.64e-07	23059.859344541976	22993.074449924734
2.67e-07	22703.891935609554	21714.78653951473
2.7e-07	21898.63333032469	20506.9913400406
2.73e-07	17673.782293344568	19365.801446908557
2.76e-07	13921.423285197105	18287.543831086172
2.79e-07	14328.606998615931	17268.748017106343
2.82e-07	14629.999356339682	16306.134913009537
2.85e-07	15693.623181025168	15396.606256272016
2.88e-07	15300.194501040514	14537.234641751002
2.91e-07	13230.366608915883	13725.254099550684
2.94e-07	14373.948139531407	12958.051192483044
2.9699999999999997e-07	11631.436911643454	12233.156604469877
3e-07	9858.845029430368	11548.237192812217
3.03e-07	9322.233962695305	10901.088478747144
3.06e-07	10272.776453172386	10289.627552121488
3.09e-07	9569.472363881625	9711.886367346004
3.12e-07	9668.796862449903	9166.005409051915
3.15e-07	6056.623999667654	8650.227707062642
3.18e-07	7408.531049133543	8162.8931814168245
