	A
241	0.005160811276603206
242	0.005209924599265552
243	0.005259034626750209
244	0.005308135779865989
245	0.00535722250191621
246	0.00540628924653152
247	0.005455330519307401
248	0.005504340800107238
249	0.005553314631014463
250	0.005602246579799642
251	0.005651131206864388
252	0.005699963123735662
253	0.005748737008593637
254	0.005797447465959648
255	0.00584608926248816
256	0.005894657130881797
257	0.005943145777846136
258	0.005991550094876888
259	0.006039864866448074
260	0.006088084958986996
261	0.006136205360981021
262	0.006184220974935996
263	0.00623212676949418
264	0.006279917925192799
265	0.00632758935962918
266	0.006375136277210797
267	0.006422553881244988
268	0.006469837310813017
269	0.006516981840044868
270	0.006563982876389117
271	0.006610835604411414
272	0.006657535589606246
273	0.0067040782655627944
274	0.006750459003190238
275	0.006796673535700522
276	0.006842717349415099
277	0.006888586081738006
278	0.006934275572749545
279	0.006979781480748784
280	0.007025099577821274
281	0.007070225968356982
282	0.0071151562992362045
283	0.007159886685698723
284	0.007204413210399399
285	0.0072487318464628985
286	0.007292838765189097
287	0.007336730316607858
288	0.007380402509738988
289	0.007423851901566533
290	0.0074670748335431665
291	0.007510067557970321
292	0.00755282681714834
293	0.007595348997860709
294	0.007637630687208764
295	0.007679668730525596
296	0.007721459714866404
297	0.007763000377509041
298	0.0078042878657893005
299	0.007845318727493089
300	0.007886090108589962
301	0.007926599090656489
302	0.007966842613897159
303	0.008006817857340818
304	0.00804652220318215
305	0.008085952610673436
306	0.008125106696862597
307	0.008163981799578696
308	0.00820257515160835
309	0.008240884551870923
310	0.008278907370720831
311	0.008316641207670105
312	0.008354083950886519
313	0.008391233177076329
314	0.00842808663697091
315	0.008464642528241039
316	0.008500898362980921
317	0.00853685232724502
318	0.008572502514589924
319	0.008607846859238667
320	0.00864288355325037
321	0.008677610997683773
322	0.008712027125970839
323	0.008746130582727649
324	0.008779919692687007
325	0.008813392669613918
326	0.008846548321307454
327	0.008879384990063046
328	0.00891190125726149
329	0.008944096000450931
330	0.008975967757269724
331	0.009007515250458625
332	0.009038737650867807
333	0.009069633411851156
334	0.00910020168517936
335	0.00913044150883319
336	0.009160351756554518
337	0.009189931559845366
338	0.009219180249998276
339	0.009248096681017726
340	0.009276680420338568
341	0.00930493069854443
342	0.009332846637944186
343	0.009360427941246212
344	0.00938767384229922
345	0.009414583807809645
346	0.009441157588857118
347	0.009467394592097514
348	0.0094932944085245
349	0.009518857049690212
350	0.009544081826091377
351	0.009568968725825255
352	0.009593517610791419
353	0.009617728185027685
354	0.009641600394686914
355	0.00966513436542272
356	0.009688329766454278
357	0.009711186939636735
358	0.009733705895387324
359	0.00975588654537597
360	0.009777729334940083
361	0.009799234266172744
362	0.009820401554999109
363	0.009841231674870091
364	0.009861724771727993
365	0.009881881164785
366	0.009901701544696618
367	0.00992118595937474
368	0.009940335073746495
369	0.009959149425615873
370	0.009977629409865883
371	0.009995775636113313
372	0.010013588865950086
373	0.010031069450057196
374	0.010048218337319817
375	0.010065036170265806
376	0.01008152350702107
377	0.01009768136848866
378	0.010113510381130557
379	0.010129011356875998
380	0.010144185327582824
381	0.010159033032372103
382	0.010173555364123588
383	0.010187753524386415
384	0.010201628160395442
385	0.01021518044854367
386	0.010228411446099388
387	0.010241322089035013
388	0.010253913492653068
389	0.01026618689285146
390	0.0102781431784674
391	0.010289783738016466
392	0.010301109694834647
393	0.01031212210503613
394	0.01032282240095298
395	0.01033321168630239
396	0.010343291215794732
397	0.010353062419690855
398	0.010362526484048947
399	0.010371684722690818
400	0.010380538688159581
401	0.010389089487673989
402	0.010397338651457063
403	0.010405287606439686
404	0.010412937684205918
405	0.010420290355557896
406	0.010427347179394541
407	0.010434109443556447
408	0.010440578821870446
409	0.010446756776106524
410	0.010452644719367639
411	0.010458244346007443
412	0.01046355709870063
413	0.010468584533355533
414	0.01047332833367373
415	0.010477789997280615
416	0.010481971119007553
417	0.010485873460568326
418	0.010489498459185868
419	0.010492847858638476
420	0.010495923321623864
421	0.010498726443618496
422	0.010501258917267515
423	0.010503522491762713
424	0.010505518727815346
425	0.0105072494509865
426	0.01050871633589772
427	0.010509921027041947
428	0.010510865352875409
429	0.010511550972912086
430	0.010511979621146625
431	0.010512153110976466
432	0.010512073133572978
433	0.010511741443908275
434	0.010511159894163576
435	0.01051033013723605
436	0.010509254012581149
437	0.010507933305519914
438	0.010506369762658205
439	0.010504565185964227
440	0.010502521404785739
441	0.01050024014442348
442	0.01049772327277747
443	0.010494972572308586
444	0.010491989812782654
445	0.01048877685306163
446	0.010485335467111554
447	0.01048166746541335
448	0.010477774690934267
449	0.010473658930560502
450	0.01046932200025491
451	0.01046476574853674
452	0.01045999194820713
453	0.010455002440442162
454	0.010449799042334952
455	0.010444383559728838
456	0.010438757813889653
457	0.010432923627568952
458	0.010426882801989319
459	0.01042063716253295
460	0.010414188515891144
461	0.010407538671636614
462	0.010400689439418373
463	0.0103936426257925
464	0.010386400037940557
465	0.010378963471585975
466	0.010371334731993875
467	0.010363515618717142
468	0.010355507906070567
469	0.010347313410020596
470	0.010338933902559265
471	0.010330371163248454
472	0.010321626985790032
473	0.010312703142351212
474	0.010303601384424836
475	0.010294323519757589
476	0.010284871269201938
477	0.01027524640036807
478	0.010265450697004469
479	0.010255485862043856
480	0.010245353672237306
481	0.010235055872016716
482	0.010224594154369802
483	0.01021397028472416
484	0.01020318598894078
485	0.010192242917702626
486	0.010181142871308604
487	0.010169887502386347
488	0.010158478503078676
489	0.010146917602291737
490	0.010135206474133246
491	0.010123346753726633
492	0.010111340203546962
493	0.010099188397914358
494	0.010086893020095996
495	0.010074455780200229
496	0.010061878236098418
497	0.010049162089670311
498	0.010036308981001552
499	0.010023320463267553
500	0.01001019822063942
501	0.009996943865576032
502	0.00998355889360478
503	0.009970045046399641
504	0.009956332284653379
505	0.00993553036982322
506	0.00990971477470234
507	0.009883959630809819
508	0.009858271255585369
509	0.009832649889483139
510	0.00980709493719925
511	0.009781606347448821
512	0.009756184181383952
513	0.00973082790727417
514	0.009705537612183382
515	0.009680313149500777
516	0.009655154081223182
517	0.009630060492506682
518	0.009605032210793146
519	0.00958006870577968
520	0.0095551703151813
521	0.009530336572402074
522	0.009505567294072918
523	0.009480862490605951
524	0.009456221926561972
525	0.009431645242342468
526	0.009407132668519284
527	0.00938268363230403
528	0.009358298088758443
529	0.009333976093262848
530	0.0093097171380446
531	0.009285521307128789
532	0.009261388459755741
533	0.009237318175549472
534	0.009213310539715842
535	0.009189365381960338
536	0.009165482198417297
537	0.009141661312818948
538	0.009117902275108095
539	0.00909420491358514
540	0.009070569237079712
541	0.009046995018499883
542	0.009023481915891684
543	0.00900003015035004
544	0.008976639170766784
545	0.008953308938098741
546	0.008930039502339757
547	0.008906830378594495
548	0.00888368164795183
549	0.008860593175270834
550	0.008837564557097
551	0.00881459587852224
552	0.008791686971642423
553	0.008768837357735572
554	0.00874604734712776
555	0.0087233165057427
556	0.008700644672884112
557	0.008678031855917007
558	0.008655477835814534
559	0.008632982287413632
560	0.008610545422720385
561	0.008588166711504395
562	0.008565846120190573
563	0.00854358369374844
564	0.008521378969131643
565	0.008499232024590225
566	0.008477142730377158
567	0.008455110699284028
568	0.008433136016137896
569	0.008411218515539111
570	0.008389357742673385
571	0.008367553995017134
572	0.008345806853934283
573	0.008324116169101236
574	0.008302481946527464
575	0.008280903974979787
576	0.008259381945272726
577	0.008237916060696132
578	0.00821650581112214
579	0.008195151168044227
580	0.008173852171748111
581	0.008152608380055005
582	0.008131419868466626
583	0.008110286512419693
584	0.008089207940299761
585	0.008068184236532557
586	0.008047215238320596
587	0.008026300513585126
588	0.008005440347483803
589	0.007984634336297024
590	0.00796388233947668
591	0.00794318436178136
592	0.007922540199506351
593	0.007901949558669269
594	0.007881412634202428
595	0.007860928935333154
596	0.007840498438247035
597	0.007820121178868078
598	0.007799796734944863
599	0.007779525179324105
600	0.007759306392419351
601	0.007739140017585323
602	0.007719026138723043
603	0.007698964595721025
604	0.0076789549781210295
605	0.007658997559269571
606	0.00763909194985757
607	0.007619238018547781
608	0.007599435768944872
609	0.007579685004615832
610	0.007559985446046059
611	0.0075403372801520615
612	0.007520740034796458
613	0.007501193690504306
614	0.007481698279139888
615	0.007462253397483019
616	0.00744285911581347
617	0.0074235153193239044
618	0.007404221665738114
619	0.007384978238321454
620	0.007365784879719438
621	0.007346641200032289
622	0.007327547461284353
623	0.007308503288085432
624	0.007289508557775332
625	0.007270563272895172
626	0.007251667244037241
627	0.007232820205451321
628	0.007214022336367464
629	0.007195273182590107
630	0.007176572728652491
631	0.007157921002643693
632	0.007139317619517851
633	0.007120762647074153
634	0.007102255975093023
635	0.007083797275095001
636	0.007065386629604103
637	0.007047023884085793
638	0.007028708668188105
639	0.007010441233080846
640	0.0069922212168172316
641	0.006974048504908757
642	0.006955923098919028
643	0.006937844816224596
644	0.006919813404172758
645	0.0069018290346213144
646	0.006883891270648727
647	0.00686600010048592
648	0.006848155548712925
649	0.006830357247641455
650	0.006812605262672045
651	0.006794899487992829
652	0.00677723960855021
653	0.006759625705481549
654	0.006742057627678103
655	0.006724535023189218
656	0.006707058132777955
657	0.006689626607480799
658	0.006672240340504388
659	0.006654899332513392
660	0.006637603407436242
661	0.00662035232508282
662	0.006603146250240537
663	0.006585984762616261
664	0.006568867853849735
665	0.006551795545261232
666	0.006534767485740062
667	0.006517783738367216
668	0.006500844201565688
669	0.006483948573481812
670	0.006467096932864652
671	0.0064502891329911985
672	0.0064335248390914234
673	0.006416804281951258
674	0.006400127125145522
675	0.006383493269123187
676	0.006366902713725072
677	0.006350355289208004
678	0.006333850767562608
679	0.006317389305819663
680	0.00630097050067108
681	0.00628459434656551
682	0.00626826086180156
683	0.00625196971109775
684	0.006235720955296334
685	0.006219514496883658
686	0.00620335004665614
687	0.006187227681027377
688	0.006171147257566872
689	0.006155108457851858
690	0.006139111503109625
691	0.006123156069017303
692	0.00610724206284119
693	0.006091369483668722
694	0.006075538167865847
695	0.006059747899047512
696	0.006043998826709288
697	0.006028290563986614
698	0.006012623107861622
699	0.0059969964738343
700	0.0059814103417378155
701	0.005965864770253558
702	0.005950359665767354
703	0.005934894751199458
704	0.00591947010067983
705	0.00590408557597322
706	0.005888740874220097
707	0.005873436207479887
708	0.005858171263117185
709	0.0058429459548110145
710	0.005827760280962469
711	0.005812614083832621
712	0.005797507158085274
713	0.005782439646035708
714	0.005767411176598159
715	0.005752421749076552
716	0.005737471376380875
717	0.005722559752780446
718	0.005707686934866173
719	0.0056928528327717005
720	0.005678057181029626
721	0.005663300051543935
722	0.005648581310176844
723	0.005633900668882506
724	0.005619258330929042
725	0.005604653994968323
726	0.005590087580707302
727	0.005575559085922434
728	0.005561068358568433
729	0.005546615203803653
730	0.005532199757107998
731	0.005517821662529749
732	0.00550348092150243
733	0.005489177544539235
734	0.0054749112396974605
735	0.005460682061546289
736	0.0054464899238204035
737	0.00543233457217658
738	0.0054182160763490105
739	0.005404134306199575
740	0.005390088988019929
741	0.00537608031593654
742	0.005362108000210574
743	0.0053481719659805365
744	0.005334272210453543
745	0.005320408587082449
746	0.005306580910993712
747	0.005292789311160037
748	0.005279033446145861
749	0.00526531331933433
750	0.005251628939022405
751	0.0052379800264353345
752	0.005224366634191259
753	0.005210788679480009
754	0.005197245918619245
755	0.005183738419224212
756	0.005170266055063557
757	0.005156828566246152
758	0.005143426137620988
759	0.005130058491163415
760	0.005116725556944582
761	0.005103427331652865
762	0.0050901636740486025
763	0.005076871936621943
764	0.005060952638900837
765	0.005043422396677349
766	0.005025952860045095
767	0.005008543948746585
768	0.0049911952103923645
769	0.004973906626396508
770	0.00495667800026283
771	0.004939508926173584
772	0.004922399406426918
773	0.004905349187284348
774	0.004888357846751476
775	0.004871425537921505
776	0.0048545518123354085
777	0.004837736495947798
778	0.004820979498250791
779	0.004804280549678087
780	0.004787639340422109
781	0.0047710559439858155
782	0.004754529851704196
783	0.0047380609891457745
784	0.004721649278480978
785	0.0047052942938884445
786	0.004688996018354665
787	0.004672754266294983
788	0.004656568654712504
789	0.004640439186877467
790	0.004624365621468082
791	0.004608347563084138
792	0.004592385154969277
793	0.004576477973349981
794	0.0045606258562157975
795	0.004544828717465599
796	0.0045290863017062285
797	0.004513398318675313
798	0.004497764836908128
799	0.0044821853758469105
800	0.004466659867662421
801	0.004451188236935907
802	0.004435770082856889
803	0.004420405389863735
804	0.004405093982679301
805	0.004389835499842381
806	0.004374629945479311
807	0.00435947709009247
808	0.0043443765632154956
809	0.00432932849886804
810	0.004314332496604234
811	0.004299388405643844
812	0.004284496144080999
813	0.004269655469959181
814	0.004254866111337712
815	0.004240128132112351
816	0.004225441078280235
817	0.004210804888104922
818	0.004196219488554281
819	0.004181684502363928
820	0.0041671999153110525
821	0.004152765561854511
822	0.004138381100860114
823	0.004124046537198802
824	0.004109761652636934
825	0.004095526100080637
826	0.00408134000491391
827	0.004067202988735608
828	0.0040531149112414564
829	0.0040390756945215545
830	0.0040250851093565874
831	0.00401114290097876
832	0.003997249128952102
833	0.003983403364363804
834	0.003969605551092954
835	0.003955855618470832
836	0.003942153211393531
837	0.003928498316877297
838	0.003914890778575557
839	0.003901330274539423
840	0.0038878168102836614
841	0.0038743501783033763
842	0.00386093005341323
843	0.003847556552912923
844	0.003834229319233407
845	0.0038209482218402838
846	0.003807713186743129
847	0.003794523996460637
848	0.0037813804126564632
849	0.0037682824907371913
850	0.003755229825497412
851	0.0037422223659883055
852	0.003729260043875836
853	0.0037163425249139826
854	0.003703469797264684
855	0.0036906417132635374
856	0.003677857969068977
857	0.0036651185707513656
858	0.003652423321019397
859	0.0036397719152271033
860	0.003627164463102967
861	0.0036146006267661363
862	0.0036020802847927798
863	0.0035896033670133527
864	0.003577169666808058
865	0.0035647789615097197
866	0.0035524313025528673
867	0.003540126307130551
868	0.0035278639290595784
869	0.00351564410230283
870	0.0035034665122494566
871	0.0034913311481166733
872	0.0034792378704426702
873	0.003467186392473467
874	0.003455176720754675
875	0.0034432086677176734
876	0.003431281947971449
877	0.003419396664154182
878	0.0034075524969927854
879	0.0033957493335571185
880	0.0033839871073033843
881	0.0033722656219440515
882	0.003360584669466277
883	0.0033489442976073025
884	0.0033373441447211915
885	0.003325784169012431
886	0.0033142643067004033
887	0.0033027842616586136
888	0.0032913440240757296
889	0.003279943462238909
890	0.003268582305519902
891	0.0032572605608651175
892	0.0032459780499634566
893	0.0032347345054710517
894	0.0032235300233893196
895	0.003212364302028513
896	0.0032012372363785643
897	0.00319014876333578
898	0.0031790986964398923
899	0.0031680868413826273
900	0.00315711324246073
901	0.00314617755801923
902	0.0031352797502998153
903	0.0031244197577374295
904	0.003113597301603071
905	0.0031028123729823997
906	0.0030920648474799294
907	0.003081354469688018
908	0.003070681246885563
909	0.0030600450095746895
910	0.0030494455073262145
911	0.0030388828299300155
912	0.003028356692310999
913	0.003017866996844564
914	0.003007413683689509
915	0.00299699657573127
916	0.002986615491480037
917	0.002976270472027593
918	0.0029659611946081916
919	0.0029556876251739016
920	0.0029454497043320395
921	0.002935247169727893
922	0.0029250800132754854
923	0.002914948117488743
924	0.0029048512413265316
925	0.0028947893923380683
926	0.0028847624094143335
927	0.0028747700579812075
928	0.0028648124220122364
929	0.0028548892321349773
930	0.0028450003976066627
931	0.002835145861684581
932	0.002825325456138432
933	0.002815539011468001
934	0.0028057865657799795
935	0.002796067814156779
936	0.00278638272595835
937	0.002776731243917279
938	0.0027671131210935947
939	0.002757528350161915
940	0.002747976820163785
941	0.0027384583036156075
942	0.002728972808282993
943	0.002719520181040045
944	0.002710100202174104
945	0.0027007129502124166
946	0.0026913581706235657
947	0.0026820357790771753
948	0.0026727457217704184
949	0.0026634878389218213
950	0.0026542619722408753
951	0.002645068157058315
952	0.002635906105317191
953	0.002626775789508015
954	0.0026176771544393464
955	0.0026086099676811527
956	0.0025995742226072936
957	0.0025905698144261485
958	0.002581596528447307
959	0.0025726543726052576
960	0.002563743201369926
961	0.00255486280895704
962	0.002546013268797589
963	0.002537194340382749
964	0.002528405945359414
965	0.002519648032712677
966	0.0025109204506952795
967	0.0025022230514968476
968	0.0024935558678666134
969	0.0024849186276757755
970	0.002476311306288658
971	0.0024677338505387485
972	0.0024591860416541874
973	0.0024506678736528737
974	0.0024421792475658984
975	0.002433719960778829
976	0.002425290021348229
977	0.0024168892909737557
978	0.002408517576923792
979	0.002400174947859723
980	0.0023918611765233002
981	0.0023835761901316835
982	0.0023753199403143185
983	0.002367092282961532
984	0.002358893080063201
985	0.0023507223619655673
986	0.0023425798715893953
987	0.002334465586932876
988	0.0023263794568043877
989	0.0023183212752875674
990	0.0023102910369928154
991	0.002302288648450076
992	0.002294313918442706
993	0.0022863668551083415
994	0.0022784473270266313
995	0.0022705551536975096
996	0.0022626903993186813
997	0.0022548528491541714
998	0.0022470424356090955
999	0.0022392591128227485
1000	0.002231502743945486
1001	0.00222377320013034
1002	0.0022160705094869814
1003	0.0022083944291562403
1004	0.0022007449395475835
1005	0.002193121991394159
1006	0.0021855253908789124
1007	0.0021779551331566117
1008	0.0021704111299517444
1009	0.002162893200803212
1010	0.0021554013538952776
1011	0.0021479354643519502
1012	0.002140495363137086
1013	0.0021330811102696174
1014	0.002125692502847904
1015	0.0021183294781084287
1016	0.0021109919925728303
1017	0.002103679916291557
1018	0.0020963931289837176
1019	0.002089131656680326
1020	0.002081895269955286
1021	0.0020746839514264705
1022	0.0020674976536983383
1023	0.0020603361943431486
1024	0.0020531995690152363
1025	0.002046087694345586
1026	0.002039000400022854
1027	0.002031937694247351
1028	0.0020248994583673013
1029	0.002017885534090791
1030	0.002010895977525354
1031	0.0020039305969521714
1032	0.001996989334108649
1033	0.001990072147774713
1034	0.0019831789145606316
1035	0.0019763095221925187
1036	0.001969463994769053
1037	0.001962642115554193
1038	0.001955843869186861
1039	0.001949069210088436
1040	0.0019423179665534487
1041	0.0019355901346931907
1042	0.001928885635772619
1043	0.001922204309060724
1044	0.0019155461627436384
1045	0.001908911084091892
1046	0.00190229892488037
1047	0.0018957097375570478
1048	0.0018891433409703874
1049	0.0018825996810491181
1050	0.0018760787187149742
1051	0.0018695803368137494
1052	0.001863104430554938
1053	0.001856651022241171
1054	0.001850219907126076
1055	0.001843811071694018
1056	0.0018374244721318345
1057	0.0018310599468254868
1058	0.0018247174923455643
1059	0.0018183970342140463
1060	0.001812098420861309
1061	0.0018058216603932067
1062	0.0017995666457147664
1063	0.0017933332380324493
1064	0.0017871214863711222
1065	0.0017809312195639507
1066	0.0017747623874421587
1067	0.00176861495295976
1068	0.0017624888048877053
1069	0.001756383845430904
1070	0.001750300095221719
1071	0.0017442373608419024
1072	0.0017381956304591965
1073	0.0017321748619744328
1074	0.0017261749032708893
1075	0.0017201957514735614
1076	0.001714237335730506
1077	0.0017082995135118617
1078	0.0017023822926929939
1079	0.001696485571536635
1080	0.001690609220087616
1081	0.001684753284166913
1082	0.0016789176020436903
1083	0.0016731021271814506
1084	0.0016673068244624381
1085	0.00166153158828744
1086	0.0016557763274003526
1087	0.0016500410608806272
1088	0.0016443256060119998
1089	0.0016386299524981998
1090	0.0016329540599000136
1091	0.0016272977850415487
1092	0.0016216611255489971
1093	0.001616044014026106
1094	0.0016104463164439526
1095	0.0016048680404479243
1096	0.0015993090893950913
1097	0.001593769341612587
1098	0.0015882488399226221
1099	0.0015827474315119024
1100	0.001577265073252518
1101	0.0015718017317702584
1102	0.0015663573069018117
1103	0.0015609317134721763
1104	0.0015555249691192054
1105	0.0015501369012366926
1106	0.001544767500927339
1107	0.001539416729359481
1108	0.0015340844517737129
1109	0.0015287706662483538
1110	0.0015234753086804304
1111	0.001518198253035207
1112	0.0015129395067283399
1113	0.001507698977962197
1114	0.00150247655282297
1115	0.0014972722713280844
1116	0.0014920859890900442
1117	0.001486917666289988
1118	0.0014817672707994585
1119	0.0014766347080280462
1120	0.0014715198983464338
1121	0.001466422858054053
1122	0.0014613434240954408
1123	0.0014562815888459763
1124	0.0014512373150305294
1125	0.00144621047591729
1126	0.001441201069674456
1127	0.0014362090356544893
1128	0.001431234255235019
1129	0.001426276735602796
1130	0.0014213363895680523
1131	0.0014164131104854455
1132	0.0014115069357494119
1133	0.0014066177289335582
1134	0.0014017454532912123
1135	0.0013968900779059291
1136	0.0013920515134503886
1137	0.0013872296854856294
1138	0.0013824246090674527
1139	0.0013776361301639467
1140	0.0013728642423060445
1141	0.0013681089097247814
1142	0.0013633700132736225
1143	0.0013586475510996916
1144	0.001353941465932411
1145	0.0013492516460909272
1146	0.0013445780985343444
1147	0.0013399207404541172
1148	0.0013352794720150928
1149	0.0013306543281570342
1150	0.001326045179977161
1151	0.0013214519935788708
1152	0.00131687473922524
1153	0.001312313332558513
1154	0.0013077677039975539
1155	0.001303237867442709
1156	0.001298723677387711
1157	0.001294225128411059
1158	0.0012897421861997344
1159	0.0012852747387398318
1160	0.0012808227841652148
1161	0.0012763862683948688
1162	0.0012719650862829388
1163	0.001267559244563975
1164	0.0012631686645942256
1165	0.0012587932529190464
1166	0.0012544330421813516
1167	0.001250087910588381
1168	0.0012457578268871851
1169	0.0012414427624866597
1170	0.0012371426377228698
1171	0.0012328573875595372
1172	0.0012285870248252746
1173	0.0012243314120673426
1174	0.0012200905448137025
1175	0.001215864390157359
1176	0.0012116528427914153
1177	0.0012074559008432406
1178	0.0012032735132448266
1179	0.0011991055810021216
1180	0.0011949521106289433
1181	0.00119081302744033
1182	0.0011866882439586209
1183	0.001182577790679088
1184	0.0011784815525266138
1185	0.001174399500700796
1186	0.0011703316077222858
1187	0.0011662777983604245
1188	0.0011622380118309374
1189	0.0011582122599683282
1190	0.0011542004129277829
1191	0.001150202467096193
1192	0.0011462183909236993
1193	0.001142248085409474
1194	0.0011382915486818266
1195	0.0011343487325173912
1196	0.001130419543714806
1197	0.0011265039885695926
1198	0.0011226019961607452
1199	0.0011187134846091036
1200	0.0011148384824015067
1201	0.0011109768808100714
1202	0.0011071286533090566
1203	0.001103293773496996
