x;xcwm;height
-50.0;-49.83381227473988;0.284605137782169
-49.89989984035492;-49.73169005286084;0.22761578864426393
-49.79979979991913;-49.61065800521567;0.20688939587835803
-49.69969964027405;-49.51737634301257;0.19570741531356559
-49.59959959983826;-49.424439046316024;0.14954918728634745
-49.499499440193176;-49.3154694466116;0.11608774899763731
-49.399399399757385;-49.1891062143931;0.0589035689446436
-49.299299240112305;-49.03603856790042;0.04957806331160769
-49.199199199676514;-48.90330835764373;0.04867541674155739
-49.09909904003143;-48.78198470484114;0.06277766868481813
-48.99899899959564;-48.66714272166488;0.06742735637891802
-48.89889883995056;-48.55285555487577;0.06328793722038083
-48.79879879951477;-48.43268005817433;0.05473235070698528
-48.69869863986969;-48.29626467138415;0.06476481747035558
-48.5985985994339;-48.18762229447693;0.0821066269755278
-48.49849843978882;-48.06238692387743;0.074326833758163
-48.39839839935303;-47.93870179070026;0.09756179819184486
-48.29829823970795;-47.82534694155271;0.12682872584350524
-48.198198199272156;-47.72846617190674;0.14191048155114586
-48.098098039627075;-47.62286502814382;0.1461905701518837
-47.997997999191284;-47.51311479646286;0.14357524287670112
-47.897897839546204;-47.397587147643485;0.15274099658357707
-47.79779779911041;-47.30325886911575;0.16064118621945095
-47.69769763946533;-47.19138890795036;0.14014953394435298
-47.59759759902954;-47.062242786702946;0.14687788171262361
-47.49749743938446;-46.94997220792251;0.19109378084153272
-47.39739739894867;-46.85049506302548;0.21133077350789886
-47.29729723930359;-46.75794941833186;0.2293988556116324
-47.1971971988678;-46.65982436823116;0.2442866597318362
-47.09709703922272;-46.56362828448415;0.2618019875961739
-46.996996998786926;-46.47832937820189;0.2844099717784769
-46.896896839141846;-46.408545790260966;0.2962388523730711
-46.796796798706055;-46.327593610195;0.28316388425922223
-46.696696639060974;-46.250413059053464;0.27906216642488546
-46.59659659862518;-46.163168626524175;0.262054342218756
-46.4964964389801;-46.06066585505303;0.23848869362711148
-46.39639639854431;-45.948300878072914;0.24736720680726174
-46.29629623889923;-45.849438076325285;0.2693352227981662
-46.19619619846344;-45.77343763699616;0.2885735107346141
-46.09609603881836;-45.71001192347828;0.2926976204464521
-45.99599599838257;-45.654247798408974;0.2574980753582385
-45.89589583873749;-45.57194688355949;0.21778376845354622
-45.7957957983017;-45.48164535957365;0.17235860873639497
-45.695695638656616;-45.367028762928804;0.14561661385418267
-45.595595598220825;-45.26650118652523;0.14006385423705278
-45.495495438575745;-45.16215890737378;0.12712680555559525
-45.395395398139954;-45.06711934844953;0.1103626652594127
-45.29529523849487;-44.956150490327765;0.07592525881840104
-45.19519519805908;-44.82679337835367;0.06404797187934871
-45.095095038414;-44.71486276857721;0.07290120791386345
-44.99499499797821;-44.61221423892124;0.07575901761555834
-44.89489483833313;-44.510900353456776;0.06346394420565252
-44.79479479789734;-44.39896124798988;0.06128168117472294
-44.69469463825226;-44.29900131922412;0.058112950888867455
-44.59459459781647;-44.19546525156209;0.06723747689262112
-44.49449443817139;-44.09706430527938;0.0756681400088139
-44.394394397735596;-44.01485878019274;0.06873594632145633
-44.294294238090515;-43.9214447804146;0.05783999289698366
-44.194194197654724;-43.82630490766281;0.04266443129463689
-44.094094038009644;-43.736209925469396;0.03088975770294923
-43.99399399757385;-43.630525246212514;-0.0014912805815471457
-43.89389383792877;-43.53179794512097;-0.029056577301145865
-43.79379379749298;-43.40770932619734;-0.05399259432723781
-43.6936936378479;-43.27556106799875;-0.07012993899797036
-43.59359359741211;-43.14882463759048;-0.06958683762097041
-43.49349343776703;-43.02424910132211;-0.04934111397550469
-43.39339339733124;-42.92428520650983;-0.03773928404048411
