T	P
0.009999997	4.1861072319351133e-26
0.00999999708486874	4.1861072319351133e-26
0.00999999716973748	4.1861072319351133e-26
0.00999999725460622	4.1861072319351133e-26
0.00999999733947496	4.1861072319351133e-26
0.009999997424343699	4.1861072319351133e-26
0.00999999750921244	5.381921275902394e-26
0.00999999759408118	5.381921275902394e-26
0.009999997678949919	6.587798558795867e-26
0.00999999776381866	7.745395430325724e-26
0.0099999978486874	7.745395430325724e-26
0.009999997933556139	1.0182730060608066e-25
0.00999999801842488	1.0182730060608066e-25
0.00999999810329362	1.0182730060608066e-25
0.009999998188162358	1.1365348479301627e-25
0.009999998273031099	1.254839634309916e-25
0.00999999835789984	1.194001628567047e-25
0.009999998442768578	1.3727912312128805e-25
0.009999998527637319	1.6102230185103543e-25
0.00999999861250606	1.909880830306308e-25
0.009999998697374798	2.030490636461247e-25
0.009999998782243539	2.567394604114294e-25
0.009999998867112279	3.4647143024191868e-25
0.009999998951981018	5.796303585112516e-25
0.009999999036849758	8.654991418707243e-25
0.009999999121718499	1.4423238705683397e-24
0.009999999206587238	2.3255225522641664e-24
0.009999999291455978	3.684146852477416e-24
0.009999999376324719	6.088369855185292e-24
0.009999999461193457	9.286628362977623e-24
0.009999999546062198	1.513132393637087e-23
0.009999999630930938	2.4733706525699185e-23
0.009999999715799677	3.7697055918393677e-23
0.009999999800668418	5.46519368330693e-23
0.009999999885537158	7.270194152212727e-23
0.009999999970405897	9.438576467475946e-23
0.010000000055274638	1.1857954524285354e-22
0.010000000140143378	1.405055873861101e-22
0.010000000225012117	1.597282571288789e-22
0.010000000309880857	1.7986416087042729e-22
0.010000000394749598	2.0659911656241927e-22
0.010000000479618337	2.2676111997956597e-22
0.010000000564487077	2.487568754513377e-22
0.010000000649355818	2.7427377445140335e-22
0.010000000734224556	3.0324896355866264e-22
0.010000000819093297	3.2826738212635154e-22
0.010000000903962037	3.537843451752054e-22
0.010000000988830776	3.8278999751312513e-22
0.010000001073699517	4.076224726492215e-22
0.010000001158568257	4.357184632276202e-22
0.010000001243436996	4.645425780127058e-22
0.010000001328305736	4.951977355896849e-22
0.010000001413174475	5.309484523394075e-22
0.010000001498043216	5.543649089842112e-22
0.010000001582911956	5.775431672432657e-22
0.010000001667780695	6.109867337918303e-22
0.010000001752649436	6.422622056447738e-22
0.010000001837518176	6.660323371178224e-22
0.010000001922386915	6.935987271291047e-22
0.010000002007255655	7.170659588610519e-22
0.010000002092124396	7.432754378358604e-22
0.010000002176993135	7.699394130974871e-22
0.010000002261861875	8.010989565858023e-22
0.010000002346730616	8.248148074782892e-22
