t0;p0;p1
0.0;1367.2;1648.2221776521721
3e-09;1367.2;1648.2221776521721
6e-09;1367.2;1648.2221776521721
9e-09;1367.2;1648.2221776521721
1.2e-08;1367.2;1648.2221776521721
1.5e-08;1367.2;1648.2221776521721
1.8e-08;1367.2;1648.2221776521721
2.1e-08;1367.2;1648.2221776521721
2.4e-08;1298.84;1648.2221776521721
2.7e-08;1367.2;1648.2221776521721
3e-08;1298.84;1648.2221776521721
3.3e-08;1367.2;1648.2221776521721
3.6e-08;1367.2;1648.2221776521721
3.9e-08;1367.2;1648.2221776521721
4.2e-08;1367.2;1648.2221776521721
4.5e-08;1298.84;1648.2221776522108
4.8e-08;1367.2;1648.222177656432
5.1e-08;1367.2;1648.2221779700942
5.4e-08;1367.2;1648.2221946363923
5.7e-08;1367.2;1648.2228286584116
6e-08;1572.28;1648.2401049995103
6.3e-08;1777.3600000000001;1648.5774612659347
6.6e-08;2187.52;1653.3005595694713
6.9e-08;2666.04;1700.733124837544
7.2e-08;3212.92;2042.5857488692861
7.5e-08;5058.64;3811.45552530128
7.8e-08;11894.64;10384.936444990039
8.1e-08;29531.520000000004;27932.949461343112
8.4e-08;61660.72;61582.6541999952
8.7e-08;105684.56;107909.7727654433
9e-08;151690.84;153625.47296020875
9.3e-08;191134.56000000003;185794.60976205874
9.6e-08;201388.56000000003;201645.79399742724
9.9e-08;205490.16000000003;206667.7296000134
1.02e-07;204122.96000000002;207046.13778624058
1.05e-07;214513.68000000002;206074.55910950838
1.08e-07;203849.52;204835.27409009315
1.11e-07;195714.68000000002;203564.62970164872
1.14e-07;194347.48;202297.99700242284
1.17e-07;205763.6;201039.0268496213
1.2e-07;202003.80000000002;199787.94154675218
1.23e-07;206037.03999999998;198544.70569593058
1.26e-07;189220.48;197309.27056592013
1.29e-07;193458.80000000002;196081.58722447508
1.32e-07;198654.16000000003;194861.60703293447
1.35e-07;190997.84;193649.28165756888
1.38e-07;191544.72;192444.56306791783
1.41e-07;187306.4;191247.4035348895
1.44e-07;187169.68000000002;190057.75562887068
1.47e-07;192365.03999999998;188875.57221784673
1.5e-07;192023.24;187700.80646553522
1.53e-07;183888.4;186533.41182952962
1.56e-07;185597.4;185373.34205945587
1.59e-07;191613.08000000002;184220.55119513968
1.62e-07;188400.16000000003;183074.9935647857
1.65e-07;178419.6;181936.62378316832
1.68e-07;187990.0;180805.39674983328
1.71e-07;178419.6;179681.26764731106
1.74e-07;180743.84;178564.1919393412
1.77e-07;178077.80000000002;177454.12536910776
1.8e-07;172609.0;176351.02395748612
1.83e-07;173907.84;175254.84400130043
1.86e-07;167071.84;174165.5420715923
1.89e-07;176573.88;173083.0750119001
1.92e-07;175685.2;172007.39993654916
1.9499999999999999e-07;173497.68000000002;170938.47422895284
1.98e-07;164884.32;169876.25553992394
2.0099999999999999e-07;169396.08000000002;168820.701785997
2.04e-07;165294.48;167771.77114776106
2.07e-07;168028.88;166729.42206820278
2.1e-07;155587.36000000002;165693.61325106001
2.13e-07;163312.04;164664.30365918565
2.16e-07;170831.64;163641.4525129219
2.19e-07;171515.24000000002;162625.0192884847
2.22e-07;168370.68000000002;161614.96371635806
2.25e-07;158253.4;160611.24577969871
2.28e-07;164200.72;159613.82571275078
2.31e-07;160919.44;158622.66399927027
2.34e-07;158595.2;157637.72137095945
2.37e-07;151690.84;156658.95880591124
2.4e-07;153946.72;155686.337527063
2.43e-07;152237.72;154719.81900066044
2.46e-07;151212.32;153759.36493473098
2.49e-07;150802.16;152804.93727756644
2.52e-07;151485.76;151856.49821621578
2.55e-07;145880.24000000002;150914.0101749869
2.58e-07;145470.08000000002;149977.4358139578
2.61e-07;147452.52;149046.73802749754
2.64e-07;147794.32;148121.87994279584
2.67e-07;141710.28;147202.82491840253
2.7e-07;146632.2;146289.5365427756
2.73e-07;144102.88;145381.97863283887
2.76e-07;142940.76;144480.11523254833
2.79e-07;149298.24000000002;143583.9106114676
2.82e-07;137813.76;142693.32926335253
2.85e-07;142530.6;141808.33590474434
2.88e-07;143897.80000000002;140928.8954735716
2.91e-07;140138.0;140054.97312776148
2.94e-07;144239.6;139186.53424385912
2.9699999999999997e-07;140479.80000000002;138323.544415656
3e-07;144444.68000000002;137465.96945282668
3.03e-07;141231.76;136613.77537957445
3.06e-07;132618.4;135766.92843328504
3.09e-07;129132.04000000001;134925.39506318915
