t0;p0;p1
0.0;1647.31;1660.4961846532478
3e-09;1353.1475;1660.4961846532478
6e-09;1588.4775000000002;1660.4961846532478
9e-09;1529.6450000000002;1660.4961846532478
1.2e-08;1353.1475;1660.4961846532478
1.5e-08;1353.1475;1660.4961846532478
1.8e-08;1294.3150000000003;1660.4961846532478
2.1e-08;1353.1475;1660.4961846532478
2.4e-08;1411.98;1660.4961846532478
2.7e-08;1294.3150000000003;1660.4961846532478
3e-08;1411.98;1660.4961846532478
3.3e-08;1353.1475;1660.4961846532478
3.6e-08;1353.1475;1660.496184653368
3.9e-08;1647.31;1660.4961846575898
4.2e-08;1470.8125;1660.496184776667
4.5e-08;1529.6450000000002;1660.496187531031
4.8e-08;1706.1425000000002;1660.4962396813437
5.1e-08;1647.31;1660.4970479823871
5.4e-08;1706.1425000000002;1660.5073049006437
5.7e-08;2059.1375000000003;1660.6138743280903
6e-08;2059.1375000000003;1661.5205739648768
6.3e-08;2235.635;1667.8381448841772
6.6e-08;2412.1325;1703.890208345906
6.9e-08;2412.1325;1872.4042502371738
7.2e-08;3647.6150000000002;2517.6035495593114
7.5e-08;5294.925;4541.179635793628
7.8e-08;9766.195000000002;9740.113895638005
8.1e-08;19767.72;20681.08818164029
8.4e-08;38476.45500000001;39538.49304430951
8.7e-08;66010.065;66149.05772619678
9e-08;96367.63500000001;96873.23157854374
9.3e-08;128902.0075;125854.67141243262
9.6e-08;149258.0525;148111.25543705645
9.9e-08;162318.8675;161898.80592183775
1.02e-07;156729.78;168593.9236332099
1.05e-07;174144.2;170859.3180599289
1.08e-07;167907.955;170976.2166183492
1.11e-07;177791.815;170269.902199533
1.14e-07;169084.605;169314.11937425213
1.17e-07;175203.18500000003;168301.06818304406
1.2e-07;169084.605;167281.51810600155
1.23e-07;164083.8425;166266.14262831263
1.26e-07;169084.605;165256.71773249854
1.29e-07;156847.44500000004;164253.45329098718
1.32e-07;162554.1975;163256.33880786598
1.35e-07;167907.955;162265.33902080948
1.38e-07;162083.5375;161280.41661025945
1.41e-07;160259.73;160301.53431687917
1.44e-07;161730.5425;159328.65509967125
1.47e-07;161259.88250000004;158361.7421442977
1.5e-07;153140.99750000003;157400.7588621676
1.53e-07;152552.67250000002;156445.66888907197
1.56e-07;153788.155;155496.43608380842
1.59e-07;150081.70750000002;154553.02452681336
1.62e-07;157729.93250000002;153615.3985188028
1.65e-07;148610.89500000002;152683.5225794217
1.68e-07;155729.6275;151757.36144590113
1.71e-07;151552.52000000002;150836.88007172407
1.74e-07;149669.88;149922.043625299
1.77e-07;148081.4025;149012.81748864215
1.8e-07;146257.595;148109.16725606733
1.83e-07;150728.865;147211.05873288403
1.86e-07;149905.21000000002;146318.4579341035
1.89e-07;145198.61000000002;145431.33108315276
1.92e-07;147610.74250000002;144549.64461059638
1.9499999999999999e-07;148140.23500000002;143673.36515286635
1.98e-07;138727.035;142802.4595509994
2.0099999999999999e-07;136491.40000000002;141936.89484938237
2.04e-07;141080.33500000002;141076.63829450504
2.07e-07;138550.5375;140221.65733372094
2.1e-07;138550.5375;139371.91961401523
2.13e-07;142374.65000000002;138527.3929807807
2.16e-07;139903.68500000003;137688.04547660082
2.19e-07;133079.115;136853.8453400406
2.22e-07;133902.77000000002;136024.76100444468
2.25e-07;133608.6075;135200.76109674276
2.28e-07;130549.31750000002;134381.8144362625
2.31e-07;123724.74750000001;133567.89003354963
2.34e-07;132490.79;132758.9570891952
2.37e-07;130490.48500000002;131954.98499267024
2.4e-07;130549.31750000002;131155.94332116726
2.43e-07;130843.48000000001;130361.80183844923
2.46e-07;130078.6575;129572.53049370533
2.49e-07;133843.9375;128788.09942041375
2.52e-07;132667.2875;128008.47893521162
2.55e-07;127960.68750000001;127233.63953677176
2.58e-07;124548.4025;126463.55190468623
2.61e-07;121077.28500000002;125698.18689835697
2.64e-07;122959.925;124937.51555589304
2.67e-07;128078.35250000001;124181.50909301463
2.7e-07;124901.39750000002;123430.13890196392
2.73e-07;120312.46250000001;122683.37655042252
2.76e-07;116782.51250000001;121941.19378043555
2.79e-07;119488.80750000001;121203.56250734243
2.82e-07;122430.43250000001;120470.45481871394
2.85e-07;124254.24;119741.8429732963
2.88e-07;118370.99;119017.69939996111
2.91e-07;119782.97;118297.99669666225
2.94e-07;117959.1625;117582.70762939886
2.9699999999999997e-07;121900.94;116871.80513118491
3e-07;115488.19750000001;116165.26230102478
3.03e-07;118782.81750000002;115463.05240289553
3.06e-07;112134.74500000001;114765.14886473495
3.09e-07;117429.67000000001;114071.52527743636
