t0;p0;p1
0.0;1256.95;1522.3478688338346
3e-09;1256.95;1522.3478688338346
6e-09;1256.95;1522.3478688338346
9e-09;1256.95;1522.3478688338346
1.2e-08;1256.95;1522.3478688338346
1.5e-08;1256.95;1522.3478688338346
1.8e-08;1256.95;1522.3478688338346
2.1e-08;1256.95;1522.3478688338346
2.4e-08;1256.95;1522.3478688338346
2.7e-08;1256.95;1522.3478688338346
3e-08;1256.95;1522.3478688338346
3.3e-08;1256.95;1522.3478688338346
3.6e-08;1256.95;1522.3478688338346
3.9e-08;1256.95;1522.3478688338346
4.2e-08;1256.95;1522.3478688338346
4.5e-08;1256.95;1522.3478688338346
4.8e-08;1319.7975000000001;1522.3478688342836
5.1e-08;1256.95;1522.3478688704
5.4e-08;1382.6450000000002;1522.3478709670594
5.7e-08;1571.1875;1522.347959206722
6e-08;1696.8825000000002;1522.3506517277656
6.3e-08;1759.73;1522.4102450970984
6.6e-08;2199.6625;1523.3673689182308
6.9e-08;2262.51;1534.527215127628
7.2e-08;2639.5950000000003;1629.031578226948
7.5e-08;3582.3075000000003;2210.4921524956762
7.8e-08;6221.9025;4810.721857376913
8.1e-08;13386.517500000002;13264.208168144516
8.4e-08;32806.395000000004;33246.10774069881
8.7e-08;66744.045;67581.13310735115
9e-08;112874.11;110436.17111640009
9.3e-08;148068.71;149200.53850775864
9.6e-08;168368.45249999998;174433.3269986541
9.9e-08;196084.2;185952.19876694775
1.02e-07;192439.045;189187.12235781568
1.05e-07;185651.51499999998;189090.87785808987
1.08e-07;183954.6325;188070.21537988243
1.11e-07;188228.2625;186873.67303539257
1.14e-07;184457.4125;185659.28119430816
1.17e-07;175847.30500000002;184450.2672549907
1.2e-07;179052.5275;183249.00393751173
1.23e-07;178549.74750000003;182055.6193120302
1.26e-07;178738.28999999998;180870.0711760474
1.29e-07;191307.78999999998;179692.30843343915
1.32e-07;177795.57749999998;178522.27996822176
1.35e-07;172516.3875;177359.93499019023
1.38e-07;166231.6375;176205.22304247643
1.41e-07;174904.59250000003;175058.0939995557
1.44e-07;176538.6275;173918.49806507397
1.47e-07;181817.8175;172786.3857696859
1.5e-07;170568.115;171661.70796890752
1.53e-07;164346.2125;170544.41584098298
1.56e-07;172202.15;169434.46088476514
1.59e-07;168745.5375;168331.79491761015
1.62e-07;168179.91000000003;167236.37007328594
1.65e-07;170065.33500000002;166148.1387998943
1.68e-07;167551.43500000003;165067.05385780663
1.71e-07;163026.41499999998;163993.06831761336
1.74e-07;172139.3025;162926.13555808683
1.77e-07;160261.125;161866.2092641573
1.8e-07;157307.2925;160813.24342490273
1.83e-07;161266.68500000003;159767.192331551
1.86e-07;165288.92500000002;158728.01057549616
1.89e-07;154542.0025;157695.65304632712
1.92e-07;156930.2075;156670.07492986936
1.9499999999999999e-07;153976.375;155651.2317062395
1.98e-07;159318.4125;154639.07914791294
2.0099999999999999e-07;150331.22;153633.57331780385
2.04e-07;151399.6275;152634.67056735783
2.07e-07;154290.61250000002;151642.32753465723
2.1e-07;146497.5225;150656.50114253865
2.13e-07;145931.895;149677.1485967233
2.16e-07;152593.73;148704.22738395902
2.19e-07;151273.9325;147737.695270175
2.22e-07;149514.2025;146777.51029864824
2.25e-07;145114.8775;145823.6307881824
2.28e-07;146560.37;144876.0153312983
2.31e-07;148634.3375;143934.62279243654
2.34e-07;152405.1875;142999.41230617173
2.37e-07;145491.9625;142070.34327543876
2.4e-07;138201.6525;141147.37536977007
2.43e-07;137824.5675;140230.46852354537
2.46e-07;135310.6675;139319.58293425222
2.49e-07;138767.28;138414.67906075815
2.52e-07;138390.195;137515.71762159435
2.55e-07;138892.975;136622.65959325028
2.58e-07;137510.33000000002;135735.46620847995
2.61e-07;135939.14250000002;134854.09895461882
2.64e-07;131288.42750000002;133978.5195719121
2.67e-07;131916.9025;133108.69005185383
2.7e-07;131854.05500000002;132244.572635537
2.73e-07;131099.885;131386.12981201446
2.76e-07;134367.95500000002;130533.32431667067
2.79e-07;130031.47750000001;129686.11912960377
2.82e-07;126637.71250000001;128844.47747401886
2.85e-07;126512.01750000002;128008.36281463149
2.88e-07;122489.77750000001;127177.73885608149
2.91e-07;122804.01500000001;126352.56954135765
2.94e-07;124060.96500000001;125532.81905023231
2.9699999999999997e-07;124375.20250000001;124718.45179770656
3e-07;122929.71;123909.43243246537
3.03e-07;123872.4225;123105.72583534315
3.06e-07;118781.77500000001;122307.29711779919
3.09e-07;118970.3175;121514.11162040308
