t0;p0;p1
0.0;1394.5;1665.7783208482429
3e-09;1394.5;1665.7783208482429
6e-09;1394.5;1665.7783208482429
9e-09;1394.5;1665.7783208482429
1.2e-08;1394.5;1665.7783208482429
1.5e-08;1394.5;1665.7783208482429
1.8e-08;1324.7749999999999;1665.7783208482429
2.1e-08;1394.5;1665.7783208482429
2.4e-08;1394.5;1665.7783208482429
2.7e-08;1394.5;1665.7783208482429
3e-08;1394.5;1665.7783208482429
3.3e-08;1394.5;1665.7783208482429
3.6e-08;1394.5;1665.7783208482429
3.9e-08;1394.5;1665.7783208482429
4.2e-08;1394.5;1665.7783208482429
4.5e-08;1394.5;1665.7783208482429
4.8e-08;1394.5;1665.7783208482429
5.1e-08;1394.5;1665.7783208482429
5.4e-08;1394.5;1665.7783208491394
5.7e-08;1394.5;1665.7783209326317
6e-08;1394.5;1665.7783264174982
6.3e-08;1533.95;1665.7785801109287
6.6e-08;1603.675;1665.7868459000283
6.9e-08;2370.65;1665.9766591240643
7.2e-08;2579.8250000000003;1669.0504789044594
7.5e-08;2789.0;1704.1729095312787
7.8e-08;3207.35;1987.4963870622075
8.1e-08;5159.650000000001;3601.823448536623
8.4e-08;12062.425000000001;10101.557860624867
8.7e-08;27192.75;28599.28062410085
9e-08;67354.34999999999;65810.54522748981
9.3e-08;114976.52500000001;118698.97106326651
9.6e-08;177101.5;171719.5235194007
9.9e-08;204085.07499999998;209009.8195313248
1.02e-07;228488.82499999998;227054.12154097194
1.05e-07;236925.55000000002;232512.97621302336
1.08e-07;231835.625;232755.19883387897
1.11e-07;230929.19999999998;231556.81464277278
1.14e-07;222283.30000000002;230092.82901713828
1.17e-07;224932.85;228602.44898207948
1.2e-07;228767.725;227118.51894862967
1.23e-07;228000.75;225644.08232976025
1.26e-07;225560.375;224179.27892959776
1.29e-07;221097.975;222724.05494967254
1.32e-07;215310.80000000002;221278.34803436176
1.35e-07;223747.525;219842.09594921677
1.38e-07;218518.15;218415.23686035848
1.41e-07;218169.525;216997.70933819626
1.44e-07;211824.55000000002;215589.45235488395
1.47e-07;210918.125;214190.40528169353
1.5e-07;208686.92500000002;212800.50788640504
1.53e-07;215938.32499999998;211419.70033071327
1.56e-07;200319.92500000002;210047.92316765178
1.59e-07;217820.9;208685.1173390333
1.62e-07;207850.225;207331.2241729075
1.65e-07;204433.69999999998;205986.18538103477
1.68e-07;207362.15;204649.94305637674
1.71e-07;200947.44999999998;203322.4396706035
1.74e-07;199831.85;202003.61807161657
1.77e-07;199204.32499999998;200693.42148108862
1.8e-07;201853.875;199391.793492019
1.83e-07;207919.94999999998;198098.67806630497
1.86e-07;195927.25;196814.0195323296
1.89e-07;195230.0;195537.76258256476
1.92e-07;205967.65;194269.85227118977
1.9499999999999999e-07;197600.65;193010.23401172637
1.98e-07;185607.94999999998;191758.85357468814
2.0099999999999999e-07;192998.80000000002;190515.65708524617
2.04e-07;190209.80000000002;189280.59102090934
2.07e-07;185607.94999999998;188053.60220922023
2.1e-07;186793.275;186834.63782546594
2.13e-07;192231.82499999998;185623.64539040372
2.16e-07;187211.625;184420.57276800167
2.19e-07;185189.6;183225.36816319422
2.22e-07;178705.17500000002;182037.98011965226
2.25e-07;179890.5;180858.35751756767
2.28e-07;174661.125;179686.44957145266
2.31e-07;183307.025;178522.20582795318
2.34e-07;181424.44999999998;177365.57616367695
2.37e-07;185398.775;176216.51078303542
2.4e-07;174451.94999999998;175074.96021609998
2.43e-07;173963.875;173940.87531647223
2.46e-07;176473.975;172814.20725916795
2.49e-07;161622.55000000002;171694.90753851528
2.52e-07;170826.25;170582.92796606626
2.55e-07;171035.42500000002;169478.22066852232
2.58e-07;162738.15;168380.73808567322
2.61e-07;166363.85;167290.43296834934
2.64e-07;163574.85;166207.25837638768
2.67e-07;159321.625;165131.16767661084
2.7e-07;166642.75;164062.1145408194
2.73e-07;162807.875;163000.05294379746
2.76e-07;164202.375;161944.93716133095
2.79e-07;156950.975;160896.7217682393
2.82e-07;158694.1;159855.3616364197
2.85e-07;161343.65;158820.81193290418
2.88e-07;156672.07499999998;157793.0281179296
2.91e-07;155695.92500000002;156771.96594301987
2.94e-07;152628.025;155757.5814490812
2.9699999999999997e-07;151861.05000000002;154749.83096450937
3e-07;157578.5;153748.6711033097
3.03e-07;152837.19999999998;152754.05876322908
3.06e-07;154161.975;151765.95112390045
3.09e-07;146073.875;150784.30564499905
