t0;p0;p1
0.0;1342.85;1645.7501387044292
3e-09;1409.9925;1645.7501387044292
6e-09;1409.9925;1645.7501387044292
9e-09;1342.85;1645.7501387044292
1.2e-08;1342.85;1645.7501387044292
1.5e-08;1342.85;1645.7501387044292
1.8e-08;1342.85;1645.7501387044292
2.1e-08;1342.85;1645.7501387044292
2.4e-08;1342.85;1645.7501387044292
2.7e-08;1342.85;1645.7501387044292
3e-08;1409.9925;1645.7501387044292
3.3e-08;1342.85;1645.7501387044292
3.6e-08;1342.85;1645.7501387044292
3.9e-08;1342.85;1645.7501387044292
4.2e-08;1342.85;1645.7501387044292
4.5e-08;1409.9925;1645.7501387044292
4.8e-08;1477.135;1645.7501387044426
5.1e-08;1409.9925;1645.7501387054413
5.4e-08;1409.9925;1645.7501387842738
5.7e-08;1611.4199999999998;1645.750143275202
6e-08;1678.5625;1645.7503277614912
6.3e-08;1812.8475;1645.7557951949873
6.6e-08;2349.9874999999997;1645.8727417454304
6.9e-08;2551.4149999999995;1647.678973556043
7.2e-08;2618.5575;1667.8319827812295
7.5e-08;2954.27;1830.3416485030248
7.8e-08;4364.2625;2777.821619033914
8.1e-08;8459.955;6773.273972916322
8.4e-08;19404.1825;18962.56384818059
8.7e-08;43508.34;45868.44195375318
9e-08;86613.825;88829.76788568204
9.3e-08;142409.2425;138406.7456567452
9.6e-08;183433.30999999997;179642.68227769306
9.9e-08;195250.38999999998;204149.44038659477
1.02e-07;215930.28;214208.07076254024
1.05e-07;210760.30749999997;216547.39772140395
1.08e-07;214453.14499999996;216117.72945106137
1.11e-07;216131.70749999996;215002.81464182693
1.14e-07;211297.44749999998;213773.37467461906
1.17e-07;200353.21999999997;212535.96643427966
1.2e-07;207000.32749999998;211304.4297421641
1.23e-07;220025.97249999997;210079.99848997596
1.26e-07;195183.24749999997;208862.71408105042
1.29e-07;207604.61;207652.5386471425
1.32e-07;206127.47499999998;206449.43080028068
1.35e-07;206731.75749999998;205253.34926789405
1.38e-07;207134.6125;204064.25301539764
1.41e-07;205590.335;202882.1012478014
1.44e-07;200823.2175;201706.85340836275
1.47e-07;206463.1875;200538.4691771961
1.5e-07;196123.2425;199376.90846988955
1.53e-07;202233.21;198222.13143612965
1.56e-07;198338.94499999998;197074.0984583342
1.59e-07;196458.95500000002;195932.7701502931
1.62e-07;192094.6925;194798.1073558171
1.65e-07;194780.39250000002;193670.07114739454
1.68e-07;203576.05999999997;192548.62282485567
1.71e-07;196593.24;191433.72391404508
1.74e-07;195384.675;190325.33616550165
1.77e-07;196593.24;189223.42155314636
1.8e-07;192228.9775;188127.94227297767
1.83e-07;188603.28249999997;187038.8607417747
1.86e-07;186186.1525;185956.13959580765
1.89e-07;182963.3125;184879.741689556
1.92e-07;183030.45500000002;183809.63009443413
1.9499999999999999e-07;178800.4775;182745.7680975245
1.98e-07;179673.33000000002;181688.11920031795
2.0099999999999999e-07;178129.0525;180636.64711746166
2.04e-07;184373.305;179591.31577551426
2.07e-07;183164.74;178552.08931170817
2.1e-07;175040.49749999997;177518.93207271924
2.13e-07;179606.1875;176491.80861344375
2.16e-07;178397.62249999997;175470.68369578212
2.19e-07;178196.19499999998;174455.52228743015
2.22e-07;166043.4025;173446.28956067705
2.25e-07;172891.9375;172442.95089121067
2.28e-07;173227.65;171445.47185692954
2.31e-07;180680.4675;170453.81823676205
2.34e-07;167184.82499999998;169467.95600949228
2.37e-07;167856.25;168487.85135259287
2.4e-07;170541.94999999998;167513.47064106463
2.43e-07;165170.55;166544.78044628302
2.46e-07;164566.2675;165581.74753485117
2.49e-07;154159.18;164624.33886745988
2.52e-07;160940.57249999998;163672.52159775404
2.55e-07;159597.72249999997;162726.26307120564
2.58e-07;167184.82499999998;161785.53082399367
2.61e-07;159664.865;160850.2925818903
2.64e-07;162014.8525;159920.51625915358
2.67e-07;163424.845;158996.16995742664
2.7e-07;157314.8775;158077.22196464342
2.73e-07;157852.0175;157163.6407539407
2.76e-07;158389.1575;156255.39498257646
2.79e-07;158322.01499999998;155352.45349085444
2.82e-07;151003.48249999998;154454.78530105547
2.85e-07;149056.34999999998;153562.35961637436
2.88e-07;150063.4875;152675.1458198636
2.91e-07;146572.07749999998;151793.11347338272
2.94e-07;147243.5025;150916.2323165542
2.9699999999999997e-07;148720.63749999998;150044.47226572532
3e-07;150130.62999999998;149177.80341293596
3.03e-07;145699.22499999998;148316.19602489256
3.06e-07;146370.65;147459.62054194813
3.09e-07;145632.0825;146608.0475770881
