t0;p0;p1
0.0;1319.0;1698.4298903783927
3e-09;1319.0;1698.4298903783927
6e-09;1319.0;1698.4298903783927
9e-09;1319.0;1698.4298903783927
1.2e-08;1319.0;1698.4298903783927
1.5e-08;1319.0;1698.4298903783927
1.8e-08;1450.9;1698.4298903783927
2.1e-08;1384.95;1698.4298903783927
2.4e-08;1319.0;1698.4298903783927
2.7e-08;1319.0;1698.4298903783927
3e-08;1319.0;1698.4298903783927
3.3e-08;1319.0;1698.4298903783927
3.6e-08;1319.0;1698.4298903784058
3.9e-08;1319.0;1698.429890378616
4.2e-08;1319.0;1698.4298903836507
4.5e-08;1319.0;1698.4298904849309
4.8e-08;1384.95;1698.4298922167557
5.1e-08;1516.85;1698.4299174292967
5.4e-08;1319.0;1698.430229930175
5.7e-08;1516.85;1698.4335277842745
6e-08;1582.8;1698.4631610526358
6.3e-08;1516.85;1698.6898952797037
6.6e-08;1780.65;1700.167180196021
6.9e-08;1846.6;1708.3638914896774
7.2e-08;2506.1;1747.0949627135167
7.5e-08;2572.0499999999997;1902.955856014371
7.8e-08;3561.3;2437.1286683626868
8.1e-08;5473.85;3996.3106505534492
8.4e-08;9430.85;7872.253107732647
8.7e-08;17674.600000000002;16077.76375876645
9e-08;31853.85;30870.322873633522
9.3e-08;56519.15;53575.06251104839
9.6e-08;81250.40000000001;83236.08698114053
9.9e-08;110070.55;116195.89596603104
1.02e-07;150036.25;147311.0527826807
1.05e-07;169227.7;172198.34552383955
1.08e-07;198113.8;188956.28151218392
1.11e-07;201081.55;198293.66357377463
1.14e-07;198575.45;202364.51045761464
1.17e-07;196531.0;203414.83621634293
1.2e-07;204379.05;203040.30088702534
1.23e-07;199103.05;202109.04711498015
1.26e-07;202532.45;200998.8377681073
1.29e-07;199894.45;199843.96279442913
1.32e-07;195607.7;198683.8843169351
1.35e-07;196860.75;197528.24351156314
1.38e-07;187825.6;196378.98800787856
1.41e-07;198047.85;195236.42107655955
1.44e-07;187957.5;194100.5530489404
1.47e-07;193761.1;192971.35070367254
1.5e-07;190529.55;191848.7755535964
1.53e-07;196531.0;190732.78875966815
1.56e-07;189672.2;189623.35165918025
1.59e-07;191452.85;188520.42581243743
1.62e-07;191255.0;187423.973005097
1.65e-07;193827.05;186333.9552470814
1.68e-07;176548.15;185250.3347712751
1.71e-07;188485.1;184173.0740322168
1.74e-07;185451.4;183102.13570479822
1.77e-07;181956.05;182037.48268297117
1.8e-07;182417.7;180979.07807846167
1.83e-07;189012.7;179926.88521949205
1.86e-07;174371.8;178880.86764951012
1.89e-07;173052.8;177840.98912592625
1.92e-07;172525.2;176807.21361885732
1.9499999999999999e-07;176350.3;175779.50530987876
1.98e-07;174173.95;174757.82859078306
2.0099999999999999e-07;171338.1;173742.1480623464
2.04e-07;176548.15;172732.42853310183
2.07e-07;186572.55;171728.63501812026
2.1e-07;168436.30000000002;170730.73273779795
2.13e-07;170744.55;169738.6871166517
2.16e-07;163885.75;168752.46378212087
2.19e-07;167315.15;167772.02856337623
2.22e-07;177141.7;166797.34749013628
2.25e-07;164083.6;165828.38679149005
2.28e-07;156961.0;164865.11289472695
2.31e-07;160654.19999999998;163907.4924241739
2.34e-07;161973.19999999998;162955.49220003834
2.37e-07;164149.55000000002;162009.07923725923
2.4e-07;163094.35;161068.22074436373
2.43e-07;153069.94999999998;160132.88412233122
2.46e-07;165666.4;159203.0369634637
2.49e-07;166325.9;158278.6470502632
2.52e-07;158741.65;157359.68235431507
2.55e-07;155378.19999999998;156446.11103517862
2.58e-07;153333.75;155537.90143928377
2.61e-07;158609.75;154635.02209883425
2.64e-07;151025.5;153737.44173071743
2.67e-07;147728.0;152845.12923542026
2.7e-07;152938.05000000002;151958.05369595185
2.73e-07;149508.65;151076.18437677235
2.76e-07;150893.6;150199.49072272773
2.79e-07;147266.35;149327.94235799133
2.82e-07;149838.4;148461.50908501123
2.85e-07;145881.4;147600.1608834642
2.88e-07;150036.25;146743.8679092154
2.91e-07;143441.25;145892.60049328418
2.94e-07;141924.4;145046.32914081644
2.9699999999999997e-07;141264.9;144205.02453006242
3e-07;146409.0;143368.65751136083
3.03e-07;143705.05000000002;142537.19910612897
3.06e-07;137176.0;141710.6205058585
3.09e-07;141067.05000000002;140888.89307111752
